Function Abbr	Functional Category	Gene Count
[S]	Function unknown	78
[R]	General function prediction only	124
[K]	Transcription	42
[L]	Replication, recombination and repair	104
[B]	Chromatin structure and dynamics	0
[A]	RNA processing and modification	0
[J]	Translation, ribosomal structure and biogenesis	307
[E]	Amino acid transport and metabolism	238
[C]	Energy production and conversion	162
[H]	Coenzyme transport and metabolism	132
[I]	Lipid transport and metabolism	59
[F]	Nucleotide transport and metabolism	112
[G]	Carbohydrate transport and metabolism	95
[P]	Inorganic ion transport and metabolism	134
[Q]	Secondary metabolites biosynthesis, transport and catabolism	10
[D]	Cell cycle control, cell division, chromosome partitioning	29
[N]	Cell motility	0
[O]	Posttranslational modification, protein turnover, chaperones	137
[Y]	Nuclear structure	0
[M]	Cell wall/membrane/envelope biogenesis	120
[V]	Defense mechanisms	35
[W]	Extracellular structures	0
[T]	Signal transduction mechanisms	26
[U]	Intracellular trafficking, secretion, and vesicular transport	17
[Z]	Cytoskeleton	0
