SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT	WTD	OBSERVED	EXPECTED	ORFS
L2	PWY-181	"photorespiration"	9	2	2	-0.125	Bacteria (2)	Cyanobacteria (1117)	[L2_144_40,L2_129_50]
L2	SERSYN-PWY	"serine biosynthesis"	3	2	2	-0.25	Monera (99999999)	Archaea (2157)	[L2_42_11,L2_86_3]
L2	PWY-5497	"purine nucleobases degradation II (anaerobic)"	22	3	2	-0.125	Bacteria (2)	Firmicutes (1239)	[L2_131_17,L2_55_61]
L2	MENAQUINONESYN-PWY	"menaquinol-8 biosynthesis"	1	1	1	0.2490234375	Chlorobium ferrooxidans (84205)	Bacteria (2)	[L2_137_36]
L2	PWY-5155	"beta-alanine biosynthesis III"	1	1	1	0	Bacteria (2)	Bacteria (2)	[L2_127_61]
L2	ANARESP1-PWY	"respiration (anaerobic)"	13	8	7	0	Bacteria (2)	Bacteria (2)	[L2_129_65,L2_10_25,L2_88_12,L2_143_0,L2_133_6,L2_42_35,L2_55_23]
L2	P105-PWY	"TCA cycle IV (2-oxoglutarate decarboxylase)"	11	8	10	-0.375	Monera (99999999)	Cyanobacteria (1117)	[L2_0_0,L2_88_12,L2_143_0,L2_42_63,L2_133_6,L2_10_25,L2_10_39,L2_55_23,L2_170_0,L2_170_1]
L2	AST-PWY	"arginine degradation II (AST pathway)"	5	1	2	0	Proteobacteria (1224)	Proteobacteria (1224)	[L2_163_18,L2_127_11]
L2	ARGDEG-V-PWY	"arginine degradation X (arginine monooxygenase pathway)"	3	1	2	0.1240234375	Kineosphaera limosa (111564)	Actinobacteria <phylum> (201174)	[L2_145_16,L2_145_3]
L2	CHLOROPHYLL-SYN	"chlorophyllide a biosynthesis I (aerobic, light-dependent)"	10	4	9	0	Bacteria (2)	Bacteria (2)	[L2_129_66,L2_128_11,L2_149_20,L2_31_4,L2_42_61,L2_42_70,L2_75_5,L2_51_0,L2_182_58]
L2	TRPSYN-PWY	"tryptophan biosynthesis"	6	6	8	0	Bacteria (2)	Bacteria (2)	[L2_124_29,L2_19_9,L2_83_15,L2_124_19,L2_127_105,L2_127_104,L2_173_2,L2_129_39]
L2	PWY490-4	"asparagine biosynthesis III (tRNA-dependent)"	3	2	2	0	Bacteria (2)	Bacteria (2)	[L2_55_0,L2_50_50]
L2	PWY-5083	"NAD/NADH phosphorylation and dephosphorylation"	6	2	11	-1.25	Monera (99999999)	Viridiplantae (33090)	[L2_138_54,L2_64_16,L2_172_14,L2_62_26,L2_138_60,L2_64_18,L2_62_28,L2_62_29,L2_62_31,L2_62_27,L2_62_32]
L2	PWY0-1319	"CDP-diacylglycerol biosynthesis II"	4	3	5	-0.125	Bacteria (2)	Proteobacteria (1224)	[L2_127_78,L2_172_7,L2_42_58,L2_137_17,L2_162_8]
L2	PWY490-3	"nitrate reduction VI (assimilatory)"	4	2	4	-0.375	Monera (99999999)	Cyanobacteria (1117)	[L2_42_42,L2_141_3,L2_141_2,L2_174_4]
L2	PWY-7039	"phosphatidate metabolism, as a signaling molecule"	5	1	1	-1.7490234375	Chlorobium ferrooxidans (84205)	Viridiplantae (33090)	[L2_176_3]
L2	GLUTSYNIII-PWY	"glutamate biosynthesis III"	1	1	3	-0.25	Monera (99999999)	Bacteria (2)	[L2_42_42,L2_141_3,L2_141_2]
L2	2OXOBUTYRATECAT-PWY	"2-oxobutanoate degradation II"	2	1	2	-0.5	Bacteria (2)	Archaea (2157)	[L2_131_17,L2_42_17]
L2	PWY0-862	"cis-dodecenoyl biosynthesis"	6	2	2	0.125	Bacteroidetes/Chlorobi group (68336)	Bacteria (2)	[L2_88_11,L2_143_19]
L2	PWY-5837	"1,4-dihydroxy-2-naphthoate biosynthesis I"	7	3	4	0.24609375	Chlorobium/Pelodictyon group (274493)	Bacteria (2)	[L2_10_21,L2_10_20,L2_10_10,L2_10_11]
L2	DISSULFRED-PWY	"sulfate reduction IV (dissimilatory)"	5	2	2	0	Bacteria (2)	Bacteria (2)	[L2_38_1,L2_67_1]
L2	PWY-5913	"TCA cycle VI (obligate autotrophs)"	11	11	16	-0.375	Monera (99999999)	Proteobacteria (1224)	[L2_42_42,L2_129_65,L2_88_12,L2_0_0,L2_0_1,L2_143_0,L2_164_18,L2_133_6,L2_10_25,L2_127_40,L2_141_2,L2_141_3,L2_112_8,L2_55_23,L2_170_0,L2_170_1]
