Function Category Level 2a	Gene Count
Transport and Catabolism	0
Cell Communication	0
Cell Motility	0
Cell Growth and Death	0
Metabolic Diseases	0
Infectious Diseases	0
Cancers	0
Cardiovascular Diseases	0
Transcription	0
Translation	0
Replication and Repair	0
Folding, Sorting and Degradation	0
RNA family	0
Signal Transduction	0
Membrane Transport	0
Signaling Molecules and Interaction	0
Development	0
Digestive System	0
Endocrine System	0
Excretory System	0
Environmental Adaptation	0
Sensory System	0
Immune System	0
Nervous System	0
Circulatory System	0
Nucleotide Metabolism	0
Metabolism of Terpenoids and Polyketides	0
Glycan Biosynthesis and Metabolism	0
Lipid Metabolism	0
Energy Metabolism	0
Metabolism of Other Amino Acids	4
Metabolism of Cofactors and Vitamins	0
Xenobiotics Biodegradation and Metabolism	0
Amino Acid Metabolism	0
Enzyme Families	0
Biosynthesis of Other Secondary Metabolites	4
Carbohydrate Metabolism	4
