ID	Function Category Level 3	Gene Count
04144	Endocytosis [PATH:ko04144]	0
04145	Phagosome [PATH:ko04145]	0
04146	Peroxisome [PATH:ko04146]	0
04140	Regulation of autophagy [PATH:ko04140]	0
04142	Lysosome [PATH:ko04142]	0
04540	Gap junction [PATH:ko04540]	0
04510	Focal adhesion [PATH:ko04510]	0
04530	Tight junction [PATH:ko04530]	0
04520	Adherens junction [PATH:ko04520]	0
04812	Cytoskeleton proteins [BR:ko04812]	0
04810	Regulation of actin cytoskeleton [PATH:ko04810]	0
02035	Bacterial motility proteins [BR:ko02035]	0
02030	Bacterial chemotaxis [PATH:ko02030]	0
02040	Flagellar assembly [PATH:ko02040]	0
04115	p53 signaling pathway [PATH:ko04115]	0
04114	Oocyte meiosis [PATH:ko04114]	0
04113	Meiosis - yeast [PATH:ko04113]	0
04112	Cell cycle - Caulobacter [PATH:ko04112]	0
04111	Cell cycle - yeast [PATH:ko04111]	0
04110	Cell cycle [PATH:ko04110]	0
04210	Apoptosis [PATH:ko04210]	0
04930	Type II diabetes mellitus [PATH:ko04930]	0
04950	Maturity onset diabetes of the young [PATH:ko04950]	0
04940	Type I diabetes mellitus [PATH:ko04940]	0
05100	Bacterial invasion of epithelial cells [PATH:ko05100]	0
05120	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	0
05130	Pathogenic Escherichia coli infection [PATH:ko05130]	0
05131	Shigellosis [PATH:ko05131]	0
05160	Hepatitis C [PATH:ko05160]	0
05162	Measles [PATH:ko05162]	0
05110	Vibrio cholerae infection [PATH:ko05110]	0
05111	Vibrio cholerae pathogenic cycle [PATH:ko05111]	0
05150	Staphylococcus aureus infection [PATH:ko05150]	0
05146	Amoebiasis [PATH:ko05146]	0
05145	Toxoplasmosis [PATH:ko05145]	0
05144	Malaria [PATH:ko05144]	0
05143	African trypanosomiasis [PATH:ko05143]	0
05142	Chagas disease (American trypanosomiasis) [PATH:ko05142]	0
05140	Leishmaniasis [PATH:ko05140]	0
05200	Pathways in cancer [PATH:ko05200]	0
05216	Thyroid cancer [PATH:ko05216]	0
05215	Prostate cancer [PATH:ko05215]	0
05214	Glioma [PATH:ko05214]	0
05213	Endometrial cancer [PATH:ko05213]	0
