#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.qced.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input placeholder
#STEP	ORF_PREDICTION
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.faa
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/orf_prediction//N1.unannot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1/regtests/output/N1/genbank//N1.annot.gff
