Function Abbr	Functional Category	Gene Count
[S]	Function unknown	0
[R]	General function prediction only	0
[K]	Transcription	0
[L]	Replication, recombination and repair	0
[B]	Chromatin structure and dynamics	0
[A]	RNA processing and modification	0
[J]	Translation, ribosomal structure and biogenesis	0
[E]	Amino acid transport and metabolism	0
[C]	Energy production and conversion	0
[H]	Coenzyme transport and metabolism	0
[I]	Lipid transport and metabolism	0
[F]	Nucleotide transport and metabolism	0
[G]	Carbohydrate transport and metabolism	0
[P]	Inorganic ion transport and metabolism	0
[Q]	Secondary metabolites biosynthesis, transport and catabolism	0
[D]	Cell cycle control, cell division, chromosome partitioning	0
[N]	Cell motility	0
[O]	Posttranslational modification, protein turnover, chaperones	0
[Y]	Nuclear structure	0
[M]	Cell wall/membrane/envelope biogenesis	0
[V]	Defense mechanisms	0
[W]	Extracellular structures	0
[T]	Signal transduction mechanisms	0
[U]	Intracellular trafficking, secretion, and vesicular transport	0
[Z]	Cytoskeleton	0
