SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT	WTD	OBSERVED	EXPECTED	ORFS
U1	PWY-4621	"arsenate detoxification II (glutaredoxin)"	1	1	1	0.234375	Bacteroidales (171549)	Bacteria (2)	[U1_77_1]
U1	CALVIN-PWY	"Calvin-Benson-Bassham cycle"	13	9	11	0	Bacteria (2)	Bacteria (2)	[U1_37_7,U1_118_18,U1_152_6,U1_172_3,U1_145_11,U1_14_27,U1_94_2,U1_37_19,U1_104_21,U1_51_40,U1_97_14]
U1	PWY-5497	"purine nucleobases degradation II (anaerobic)"	22	4	5	-0.125	Bacteria (2)	Firmicutes (1239)	[U1_78_60,U1_9_0,U1_39_61,U1_96_22,U1_48_4]
U1	PWY490-4	"asparagine biosynthesis III (tRNA-dependent)"	3	2	4	0	Bacteria (2)	Bacteria (2)	[U1_94_41,U1_109_26,U1_165_75,U1_39_0]
U1	PWY-5083	"NAD/NADH phosphorylation and dephosphorylation"	6	2	12	-1.25	Monera (99999999)	Viridiplantae (33090)	[U1_61_29,U1_61_28,U1_61_30,U1_61_31,U1_61_32,U1_61_27,U1_61_26,U1_61_25,U1_63_16,U1_63_17,U1_153_14,U1_63_18]
U1	PWY-5086	"chlorophyll a biosynthesis I"	1	1	3	-0.3740234375	Chlorobium ferrooxidans (84205)	Cyanobacteria (1117)	[U1_50_1,U1_13_7,U1_96_40]
U1	PWY490-3	"nitrate reduction VI (assimilatory)"	4	2	5	-0.375	Monera (99999999)	Cyanobacteria (1117)	[U1_56_2,U1_21_42,U1_151_4,U1_71_55,U1_73_25]
U1	PWY-5913	"TCA cycle VI (obligate autotrophs)"	11	9	17	-0.875	cellular organisms (131567)	Proteobacteria (1224)	[U1_56_2,U1_94_40,U1_133_17,U1_39_23,U1_145_8,U1_109_25,U1_56_8,U1_71_14,U1_155_1,U1_96_65,U1_21_42,U1_71_55,U1_39_31,U1_21_62,U1_69_6,U1_104_12,U1_73_25]
U1	PYRIDOXSYN-PWY	"pyridoxal 5-phosphate biosynthesis I"	8	3	3	0	Bacteria (2)	Bacteria (2)	[U1_104_3,U1_44_61,U1_51_2]
U1	PWY-7268	"NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)"	5	3	3	-1.625	Bacteria (2)	Fungi (4751)	[U1_94_4,U1_104_12,U1_153_14]
U1	PWY-7346	"UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)"	1	1	1	0.125	Proteobacteria (1224)	Bacteria (2)	[U1_156_4]
U1	PWY-7344	"UDP-D-galactose biosynthesis"	1	1	6	0	Bacteria (2)	Bacteria (2)	[U1_14_29,U1_14_23,U1_51_34,U1_14_52,U1_117_5,U1_78_13]
U1	THIOREDOX-PWY	"thioredoxin pathway"	2	1	2	0	Bacteria (2)	Bacteria (2)	[U1_39_38,U1_78_4]
U1	FASYN-ELONG-PWY	"fatty acid elongation -- saturated"	5	4	7	0	Bacteria (2)	Bacteria (2)	[U1_97_3,U1_56_5,U1_54_19,U1_165_33,U1_58_8,U1_92_10,U1_104_11]
