Function Abbr	Functional Category	Gene Count
[S]	Function unknown	36
[R]	General function prediction only	98
[K]	Transcription	11
[L]	Replication, recombination and repair	60
[B]	Chromatin structure and dynamics	0
[A]	RNA processing and modification	0
[J]	Translation, ribosomal structure and biogenesis	65
[E]	Amino acid transport and metabolism	104
[C]	Energy production and conversion	69
[H]	Coenzyme transport and metabolism	54
[I]	Lipid transport and metabolism	25
[F]	Nucleotide transport and metabolism	59
[G]	Carbohydrate transport and metabolism	48
[P]	Inorganic ion transport and metabolism	56
[Q]	Secondary metabolites biosynthesis, transport and catabolism	5
[D]	Cell cycle control, cell division, chromosome partitioning	11
[N]	Cell motility	0
[O]	Posttranslational modification, protein turnover, chaperones	66
[Y]	Nuclear structure	0
[M]	Cell wall/membrane/envelope biogenesis	79
[V]	Defense mechanisms	12
[W]	Extracellular structures	0
[T]	Signal transduction mechanisms	13
[U]	Intracellular trafficking, secretion, and vesicular transport	0
[Z]	Cytoskeleton	0
