#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
A2_2_0	fig|1002366.3.peg.1973	744	3863	0.997418022205	0.0	743.0	99.0	2.3.1.54	Pyruvate formate-lyase (EC 2.3.1.54) [Listeria innocua ATCC 33091]
A2_2_0	fig|1027396.3.peg.1534	744	3860	0.996643428867	0.0	743.0	99.0	2.3.1.54	Pyruvate formate-lyase (EC 2.3.1.54) [Listeria monocytogenes str. Scott A]
A2_2_0	fig|1030009.3.peg.1480	744	3859	0.996385231087	0.0	743.0	99.0	2.3.1.54	Pyruvate formate-lyase (EC 2.3.1.54) [Listeria monocytogenes M7]
A2_1_0	fig|100226.1.peg.6935	740	3615	0.961436170213	0.0	739.0	95.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Streptomyces coelicolor A3(2)]
A2_1_0	fig|100226.15.peg.7102	740	3615	0.961436170213	0.0	739.0	95.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Streptomyces coelicolor A3(2)]
A2_18_0	fig|100226.1.peg.3333	829	3529	0.850771456123	0.0	825.0	83.0		ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB [Streptomyces coelicolor A3(2)]
A2_18_0	fig|100226.15.peg.3436	829	3529	0.850771456123	0.0	825.0	83.0		ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB [Streptomyces coelicolor A3(2)]
A2_18_0	fig|1043205.3.peg.2035	829	3525	0.849807135969	0.0	835.0	83.0		ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB [Serinicoccus profundi MCCC 1A05965]
A2_18_0	fig|1038929.3.peg.1207	829	3520	0.848601735776	0.0	825.0	83.0		ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB [Streptomyces xinghaiensis S187]
A2_18_0	fig|1033730.3.peg.655	831	3451	0.831967213115	0.0	829.0	81.0		ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB [Aeromicrobium sp. JC14]
