#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
N3_2_1	gi|494925089|ref|WP_007651124.1|	336	1064	0.59842519685	1.62e-131	335.0	58.0		Dolichol-phosphate mannosyltransferase in lipid-linked oligosaccharide synthesis cluster [Formosa sp. AK20]
N3_3_0	gi|497913804|ref|WP_010227960.1|	251	987	0.781472684086	1.66e-121	250.0	74.0		transcriptional regulator [Gillisia marina]
N3_3_0	gi|494925760|ref|WP_007651795.1|	243	980	0.775930324624	1.35e-120	242.0	78.0		Hydrogen peroxidase [Formosa sp. AK20]
N3_3_0	gi|497868057|ref|WP_010182213.1|	251	944	0.747426761679	6.49e-116	250.0	72.0		transcriptional regulator [Aquimarina agarilytica]
N3_0_3	gi|497865126|ref|WP_010179282.1|	208	930	0.834829443447	4.29e-114	207.0	83.0		endonuclease III [Aquimarina agarilytica]
N3_3_0	gi|496278732|ref|WP_008990770.1|	251	919	0.727632620744	1.16e-112	249.0	70.0		transcriptional regulator [Galbibacter marinus]
N3_0_3	gi|494925109|ref|WP_007651144.1|	208	909	0.815978456014	2.31e-111	207.0	79.0		Endonuclease III [Formosa sp. AK20]
N3_0_3	gi|497915260|ref|WP_010229416.1|	212	890	0.798922800718	6.82e-109	211.0	76.0		endonuclease III [Gillisia marina]
N3_0_3	gi|496278689|ref|WP_008990727.1|	208	877	0.787253141831	3.34e-107	207.0	77.0		endonuclease III [Galbibacter marinus]
N3_2_2	gi|494925087|ref|WP_007651122.1|	235	863	0.699351701783	2.21e-105	232.0	69.0		Carboxypeptidase-related protein [Formosa sp. AK20]
N3_2_2	gi|494617870|ref|WP_007376107.1|	235	852	0.690437601297	5.95e-104	234.0	67.0		Carboxypeptidase-related protein [Pseudoalteromonas sp. Bsw20308]
N3_2_2	gi|504792561|ref|WP_014979663.1|	235	846	0.685575364668	3.59e-103	234.0	67.0		carboxypeptidase [Alteromonas macleodii]
N3_2_2	gi|497914117|ref|WP_010228273.1|	235	846	0.685575364668	3.59e-103	235.0	66.0		carboxypeptidase [Gillisia marina]
N3_0_3	gi|504761677|ref|WP_014948779.1|	210	827	0.74236983842	1.06e-100	209.0	73.0		endonuclease III [Alteromonas macleodii]
N3_3_0	gi|497326635|ref|WP_009640848.1|	251	791	0.626286619161	5.08e-96	255.0	59.0		transcriptional regulator [Capnocytophaga sp. CM59]
