ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
A2_18_0	830	0	2490	A2_18	2490	+		Arthrobacter (1663)	ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator genetic competence clcC/mecB
A2_19_0	396	0	1188	A2_19	1188	+		Arthrobacter (1663)	Translation initiation factor 3
A2_12_0	130	0	390	A2_12	390	+		Corynebacterium durum (61592)	Heat shock protein 60 family chaperone GroEL
A2_13_0	130	0	390	A2_13	390	+		Corynebacterium durum (61592)	Heat shock protein 60 family chaperone GroEL
A2_10_0	138	0	414	A2_10	414	+		Corynebacterineae (85007)	Heat shock protein 60 family chaperone GroEL
A2_11_0	437	0	1311	A2_11	1311	+	5.3.1.9	Bacteria (2)	Glucose-6-phosphate isomerase OS Mycoplasma capricolum subsp. (strain California kid / ATCC 27343 NCTC 10154) GN pgi PE 3 SV 1 # UNIPROT Q2SS24 PGLUCISOM-RXN 5.3.1.9
A2_16_0	451	0	1353	A2_16	1353	+		Salmonella enterica (28901)	Flagellar biosynthesis protein FliC
A2_17_0	420	0	1260	A2_17	1260	+		Enterobacteriaceae (543)	Flagellar biosynthesis protein FliC
A2_14_0	130	0	390	A2_14	390	+		Corynebacterium durum (61592)	Heat shock protein 60 family chaperone GroEL
A2_15_0	477	0	1431	A2_15	1431	+		Salmonella enterica (28901)	Flagellar biosynthesis protein FliC
A2_0_0	412	0	1236	A2_0	1236	+		Archaea (2157)	Translation elongation factor 1 alpha subunit
A2_1_0	739	0	2217	A2_1	2217	+	1.1.1.42	Actinomycetales (2037)	Isocitrate dehydrogenase 2 OS Colwellia maris GN icd2 PE 1 SV 3 # UNIPROT P41561 ISOCITDEH-RXN 1.1.1.42
A2_2_0	743	0	2229	A2_2	2229	+	2.3.1.54	cellular organisms (131567)	Formate acetyltransferase OS Haemophilus influenzae (strain ATCC 51907 / DSM 11121 KW20 Rd) GN pflB PE 3 SV 2 # UNIPROT P43753 PYRUVFORMLY-RXN 2.3.1.54
A2_3_0	385	0	1155	A2_3	1155	+	3.6.3.19	Proteobacteria (1224)	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)
A2_4_0	267	0	801	A2_4	801	+		Wolbachia endosymbiont of Muscidifurax uniraptor (77037)	Heat shock protein 60 family chaperone GroEL
A2_5_0	266	0	798	A2_5	798	+		Wolbachia endosymbiont of Muscidifurax uniraptor (77037)	Heat shock protein 60 family chaperone GroEL
A2_6_0	28	0	84	A2_6	84	+		root (1)	hypothetical protein
A2_7_0	363	0	1089	A2_7	1089	+	2.3.3.1	Proteobacteria (1224)	Citrate synthase OS Corynebacterium glutamicum GN gltA PE 3 SV 1 # UNIPROT P42457 CITSYN-RXN CGLU196627:CG0949-MONOMER 2.3.3.1
A2_8_0	285	0	855	A2_8	855	+		Archaea (2157)	Translation elongation factor 1 alpha subunit
A2_9_0	138	0	414	A2_9	414	+		Corynebacterineae (85007)	Heat shock protein 60 family chaperone GroEL
