#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
P1_107_0	RC0759	129	428	0.653435114504	2.86e-50	128.0	66.0		COG1158 # Func_class: K Transcription # Function: Transcription termination factor # Organism: Rickettsia conorii (Rco)
P1_107_0	RP526	129	428	0.653435114504	2.86e-50	128.0	66.0		COG1158 # Func_class: K Transcription # Function: Transcription termination factor # Organism: Rickettsia prowazekii (Rpr)
P1_107_0	CPn0610	131	423	0.645801526718	1.28e-49	130.0	63.0		COG1158 # Func_class: K Transcription # Function: Transcription termination factor # Organism: Chlamydophila pneumoniae CWL029 (Cpn)
P1_107_0	CT491	131	422	0.64427480916	1.72e-49	130.0	63.0		COG1158 # Func_class: K Transcription # Function: Transcription termination factor # Organism: Chlamydia trachomatis (Ctr)
P1_107_0	NMA0825	131	418	0.638167938931	5.71e-49	130.0	63.0		COG1158 # Func_class: K Transcription # Function: Transcription termination factor # Organism: Neisseria meningitidis Z2491 (NmA)
P1_127_0	SPBC337.08c	89	409	0.931662870159	8.43e-48	88.0	93.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_127_0	SPBC337.08c	89	409	0.931662870159	8.43e-48	88.0	93.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_127_0	SPBC337.08c	89	409	0.931662870159	8.43e-48	88.0	93.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_127_0	SPBC337.08c	89	409	0.931662870159	8.43e-48	88.0	93.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_127_0	YLL039c	89	409	0.931662870159	8.43e-48	88.0	93.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Saccharomyces cerevisiae (Sce)
P1_128_0	SPBC337.08c	83	390	0.953545232274	2.48e-45	82.0	95.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_128_0	SPBC337.08c	83	390	0.953545232274	2.48e-45	82.0	95.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_128_0	SPBC337.08c	83	390	0.953545232274	2.48e-45	82.0	95.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_128_0	SPBC337.08c	83	390	0.953545232274	2.48e-45	82.0	95.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Schizosaccharomyces pombe (Spo)
P1_128_0	YLL039c	83	390	0.953545232274	2.48e-45	82.0	95.0		COG5272 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: Ubiquitin # Organism: Saccharomyces cerevisiae (Sce)
P1_134_0	lin2297	91	342	0.748358862144	4.27e-39	90.0	70.0		COG0444 # Func_class: EP # Function: ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component # Organism: Listeria innocua (Lin)
P1_134_0	TM0498	91	333	0.728665207877	6.3e-38	90.0	66.0		COG0444 # Func_class: EP # Function: ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component # Organism: Thermotoga maritima (Tma)
P1_134_0	SA0847	91	332	0.72647702407	8.5e-38	90.0	66.0		COG0444 # Func_class: EP # Function: ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component # Organism: Staphylococcus aureus N315 (Sau)
P1_134_0	TM0501	91	324	0.708971553611	9.31e-37	90.0	64.0		COG0444 # Func_class: EP # Function: ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component # Organism: Thermotoga maritima (Tma)
