#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
A2_18_0	gi|504733282|ref|WP_014920384.1|	809	3978	0.959016393443	0.0	808.0	98.0		ATP-dependent Clp protease ATP-binding protein [Arthrobacter sp. Rue61a]
A2_18_0	gi|494483509|ref|WP_007272983.1|	818	3678	0.886692381871	0.0	819.0	89.0		class III stress response-related ATPase [Arthrobacter gangotriensis]
A2_18_0	gi|491411195|ref|WP_005269001.1|	808	3592	0.865959498554	0.0	805.0	88.0		ATP-dependent Clp protease, ATP-binding subunit [Arthrobacter crystallopoietes]
A2_18_0	gi|490097155|ref|WP_003999075.1|	829	3527	0.850289296046	0.0	825.0	83.0		putative ATP-dependent Clp protease [Streptomyces viridochromogenes]
A2_18_0	gi|493427602|ref|WP_006383276.1|	829	3522	0.849083895853	0.0	826.0	83.0		negative regulator of genetic competence ClpC/MecB [Streptomyces turgidiscabies]
A2_1_0	gi|493090888|ref|WP_006130307.1|	740	3493	0.928989361702	0.0	739.0	92.0		isocitrate dehydrogenase [Streptomyces gancidicus]
A2_1_0	gi|491626946|ref|WP_005484485.1|	740	3458	0.919680851064	0.0	739.0	90.0		idh protein [Streptomyces bottropensis]
A2_1_0	gi|490094230|ref|WP_003996150.1|	740	3421	0.909840425532	0.0	739.0	89.0		putative Isocitrate dehydrogenase [Streptomyces viridochromogenes]
A2_1_0	gi|493421750|ref|WP_006377541.1|	739	3367	0.895478723404	0.0	738.0	88.0		isocitrate dehydrogenase, NADP-dependent [Streptomyces turgidiscabies]
A2_1_0	gi|490083814|ref|WP_003985834.1|	739	3215	0.855053191489	0.0	738.0	85.0		isocitrate dehydrogenase [Streptomyces rimosus]
A2_2_0	gi|504706234|ref|WP_014893336.1|	740	3192	0.824167312161	0.0	738.0	81.0		formate acetyltransferase [Bacillus cereus]
A2_2_0	gi|493973048|ref|WP_006916161.1|	740	3182	0.821585334366	0.0	738.0	80.0		Pyruvate formate-lyase [Bacillus sp. GeD10]
A2_2_0	gi|446117640|ref|WP_000195495.1|	740	3175	0.81977794991	0.0	738.0	80.0		formate acetyltransferase [Bacillus cereus]
A2_2_0	gi|446117642|ref|WP_000195497.1|	740	3175	0.81977794991	0.0	738.0	80.0		formate acetyltransferase [Bacillus cereus]
A2_2_0	gi|446117620|ref|WP_000195475.1|	740	3174	0.81951975213	0.0	738.0	80.0		formate acetyltransferase [Bacillus cereus]
A2_11_0	gi|490285599|ref|WP_004181397.1|	438	1921	0.855298308103	1.92e-235	437.0	83.0		glucose-6-phosphate isomerase [Streptococcus oralis]
A2_11_0	gi|490383637|ref|WP_004263146.1|	438	1915	0.852626892253	1.1e-234	437.0	83.0		glucose-6-phosphate isomerase [Streptococcus mitis]
A2_11_0	gi|490371974|ref|WP_004251578.1|	438	1914	0.852181656278	1.47e-234	437.0	83.0		glucose-6-phosphate isomerase [Streptococcus mitis]
A2_11_0	gi|490298501|ref|WP_004193940.1|	438	1909	0.849955476402	6.26e-234	437.0	83.0		glucose-6-phosphate isomerase [Streptococcus sanguinis]
A2_11_0	gi|490289587|ref|WP_004185197.1|	438	1908	0.849510240427	8.37e-234	437.0	82.0		glucose-6-phosphate isomerase [Streptococcus sanguinis]
A2_3_0	gi|504785040|ref|WP_014972142.1|	386	1349	0.686863543788	2.68e-163	383.0	70.0		sugar ABC transporter ATP-binding protein [Burkholderia phenoliruptrix]
A2_4_0	gi|493322190|ref|WP_006279495.1|	268	1311	0.988687782805	1.66e-158	267.0	98.0		chaperonin, 60 kDa, partial [Wolbachia endosymbiont of Muscidifurax uniraptor]
A2_7_0	gi|504858351|ref|WP_015045453.1|	361	1271	0.672842773954	1.84e-153	359.0	66.0		type II citrate synthase [Simiduia agarivorans]
A2_7_0	gi|492880088|ref|WP_006020726.1|	363	1266	0.670195870831	7.88e-153	362.0	65.0		citrate synthase [Afipia broomeae]
A2_3_0	gi|493509730|ref|WP_006464092.1|	374	1266	0.644602851324	7.88e-153	374.0	67.0		maltose/maltodextrin ABC transporter ATPase [Herbaspirillum frisingense]
A2_7_0	gi|494149702|ref|WP_007089447.1|	362	1259	0.666490206458	6.02e-152	360.0	66.0		type II citrate synthase [Thalassospira xiamenensis]
A2_7_0	gi|496166683|ref|WP_008891190.1|	362	1254	0.663843303335	2.57e-151	360.0	66.0		type II citrate synthase [Thalassospira profundimaris]
A2_7_0	gi|493780381|ref|WP_006728797.1|	363	1252	0.662784542086	4.59e-151	362.0	64.0		type II citrate synthase [Agrobacterium albertimagni]
A2_5_0	gi|493322190|ref|WP_006279495.1|	267	1213	0.915471698113	3.81e-146	267.0	91.0		chaperonin, 60 kDa, partial [Wolbachia endosymbiont of Muscidifurax uniraptor]
A2_15_0	gi|485780040|ref|WP_001403084.1|	478	1101	0.468311356869	5.1e-132	486.0	57.0		Flagellin (Phase 1-C flagellin) [Escherichia coli]
A2_16_0	gi|485780040|ref|WP_001403084.1|	452	1086	0.488309352518	3.97e-130	486.0	57.0		Flagellin (Phase 1-C flagellin) [Escherichia coli]
A2_17_0	gi|492808270|ref|WP_005970640.1|	418	1048	0.506035731531	2.47e-125	420.0	60.0		flagellin [Pectobacterium wasabiae]
