#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
B3_0_0	fig|1008457.3.peg.1429	403	1436	0.67165575304	2.77e-179	425.0	67.0	1.3.99.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) [Myroides injenensis M09-0166]
B3_0_0	fig|1030843.3.peg.660	403	1426	0.666978484565	5.49e-178	404.0	65.0	1.3.99.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) [Porphyromonas gingivalis TDC60]
B3_0_0	fig|1004149.3.peg.23	403	1400	0.654817586529	1.29e-174	425.0	64.0	1.3.99.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) [Mesoflavibacter zeaxanthinifaciens S86]
B3_0_0	fig|1034807.4.peg.108	403	1393	0.651543498597	1.04e-173	425.0	65.0	1.3.99.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) [Flavobacterium branchiophilum FL-15]
B3_0_0	fig|1034807.5.peg.108	403	1393	0.651543498597	1.04e-173	425.0	65.0	1.3.99.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) [Flavobacterium branchiophilum FL-15]
B3_1_1	fig|1030843.3.peg.1534	299	1000	0.453720508167	9.4e-123	298.0	61.0		DNA modification methylase-like [Porphyromonas gingivalis TDC60]
B3_0_1	fig|1008457.3.peg.1430	246	938	0.695845697329	1.03e-114	246.0	70.0	1.3.99.1	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1) [Myroides injenensis M09-0166]
B3_0_1	fig|1046627.3.peg.2868	246	914	0.678041543027	1.33e-111	246.0	70.0	1.3.99.1	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1) [Bizionia argentinensis JUB59]
B3_0_1	fig|1042376.3.peg.1382	246	912	0.676557863501	2.41e-111	246.0	67.0	1.3.99.1	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1) [Flavobacteriaceae bacterium S85]
B3_0_1	fig|1030843.3.peg.661	245	899	0.666913946588	1.17e-109	244.0	65.0	1.3.99.1	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1) [Porphyromonas gingivalis TDC60]
B3_0_1	fig|1041826.3.peg.1906	246	896	0.6646884273	2.87e-109	246.0	66.0	1.3.99.1	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1) [Flavobacterium columnare ATCC 49512]
B3_1_2	fig|1041826.3.peg.1581	255	573	0.428571428571	2.17e-67	255.0	43.0		restriction endonuclease [Flavobacterium columnare ATCC 49512]
