orf_id	ref dbname	EC	product	value
gridtest_137_0	COG_2013-12-27		COG1151 # C Energy production conversion Function: 6Fe-6S prismane cluster-containing protein Organism: Escherichia coli O157:H7 (Ecs)	15.0

gridtest_137_5	COG_2013-12-27		NULL # G Carbohydrate transport metabolism Function: ABC-type sugar system, periplasmic component Organism: Deinococcus radiodurans (Dra)	16.0

gridtest_137_20	COG_2013-12-27		COG1187 # J Translation, ribosomal structure biogenesis Function: 16S rRNA uridine-516 pseudouridylate synthase related synthases Organism: Bacillus halodurans (Bha)	19.0

gridtest_137_22				
	metacyc-v4-2011-07-03	5.3.1.16	1-(5-phosphoribosyl)-5- imidazole-4-carboxamide isomerase OS Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 SI) GN hisA PE 3 SV 1 # UNIPROT A5CZ74 PRIBFAICARPISOM-RXN 5.3.1.16	34.0

gridtest_137_23	COG_2013-12-27		COG0118 # E Amino acid transport metabolism Function: Glutamine amidotransferase Organism: Aquifex aeolicus (Aae)	14.0

gridtest_137_24	COG_2013-12-27		COG0543 # HC Function: 2-polyprenylphenol hydroxylase related flavodoxin oxidoreductases Organism: Methanosarcina acetivorans str.C2A (Mac)	14.0

gridtest_137_25	COG_2013-12-27		COG0493 # ER Function: NADPH-dependent glutamate synthase beta chain related oxidoreductases Organism: Methanosarcina acetivorans str.C2A (Mac)	16.0

gridtest_137_26	COG_2013-12-27		COG0864 # K Transcription Function: Predicted transcriptional regulators containing CopG/Arc/MetJ DNA-binding domain metal-binding Organism: Methanosarcina acetivorans str.C2A (Mac)	18.0

gridtest_137_30	COG_2013-12-27		COG1122 # P Inorganic ion transport metabolism Function: ABC-type cobalt system, ATPase component Organism: Methanothermobacter thermautotrophicus (Mth)	17.0

gridtest_137_31	COG_2013-12-27		COG4446 # S Function unknown Function: Uncharacterized protein conserved bacteria Organism: Nostoc sp. PCC 7120 (Nos)	14.0

gridtest_137_35	COG_2013-12-27		COG0139 # E Amino acid transport metabolism Function: Phosphoribosyl-AMP cyclohydrolase Organism: Neisseria meningitidis Z2491 (NmA)	15.0
	metacyc-v4-2011-07-03	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 NCIMB 13768) GN hisI PE 3 SV 1 # UNIPROT Q1QWC3 HISTCYCLOHYD-RXN 3.5.4.19	34.0

gridtest_137_39	COG_2013-12-27		COG0272 # L Replication, recombination repair Function: NAD-dependent DNA ligase (contains BRCT domain type II) Organism: Nostoc sp. PCC 7120 (Nos)	21.0

gridtest_137_41	COG_2013-12-27		COG1136 # V Defense mechanisms Function: ABC-type antimicrobial peptide transport system, ATPase component Organism: Escherichia coli O157:H7 (Ecs)	18.0

gridtest_137_50				
	metacyc-v4-2011-07-03	6.1.1.17	Glutamyl-tRNA synthetase OS Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 JCM 12257) GN gltX PE 3 SV 1 # UNIPROT B2RI67 GLURS-RXN 6.1.1.17	34.0

gridtest_137_51	COG_2013-12-27		COG0465 # O Posttranslational modification, protein turnover, chaperones Function: ATP-dependent Zn proteases Organism: Escherichia coli O157:H7 EDL933 (EcZ)	17.0

gridtest_137_52	COG_2013-12-27		COG0730 # R General function prediction only Function: Predicted permeases Organism: Nostoc sp. PCC 7120 (Nos)	16.0

gridtest_137_54	COG_2013-12-27		COG0503 # F Nucleotide transport metabolism Function: Adenine/guanine phosphoribosyltransferases related PRPP-binding proteins Organism: Escherichia coli O157:H7 EDL933 (EcZ)	18.0
	metacyc-v4-2011-07-03	2.4.2.7	Adenine phosphoribosyltransferase OS Paracoccus denitrificans (strain Pd 1222) GN apt PE 3 SV 1 # UNIPROT A1B843 ADENPRIBOSYLTRAN-RXN 2.4.2.7	29.0

gridtest_83_6	COG_2013-12-27		COG0217 # S Function unknown Function: Uncharacterized conserved protein Organism: Neisseria meningitidis MC58 (Nme)	12.0

gridtest_83_14	COG_2013-12-27		COG0036 # G Carbohydrate transport metabolism Function: Pentose-5-phosphate-3-epimerase Organism: Nostoc sp. PCC 7120 (Nos)	14.0
	metacyc-v4-2011-07-03	5.1.3.1	Ribulose-phosphate 3-epimerase OS Rhodospirillum rubrum GN cbbE PE 3 SV 2 # UNIPROT P51013 RIBULP3EPIM-RXN 5.1.3.1	26.0

