#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
G1_3_0	fig|1036172.3.peg.893	557	1802	0.637650389243	1.19e-225	559.0	62.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Arcobacter butzleri 7h1h]
G1_2_2	fig|103690.1.peg.2635	468	1460	0.580516898608	1.55e-181	472.0	57.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Nostoc sp. PCC 7120]
G1_2_2	fig|103690.10.peg.2882	468	1460	0.580516898608	1.55e-181	472.0	57.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Nostoc sp. PCC 7120]
G1_2_2	fig|102129.3.peg.3857	466	1457	0.579324055666	3.78e-181	468.0	57.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Leptolyngbya sp. PCC 7375]
G1_2_2	fig|102125.3.peg.1272	466	1456	0.578926441352	5.09e-181	468.0	57.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Xenococcus sp. PCC 7305]
G1_2_2	fig|102232.3.peg.3002	466	1435	0.570576540755	2.6e-178	468.0	57.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Gloeocapsa sp. PCC 73106]
G1_3_0	fig|1030842.4.peg.143	556	1354	0.479122434536	7.32e-168	552.0	50.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Ruminococcus flavefaciens 17]
G1_3_0	fig|1036171.3.peg.2019	559	1343	0.475230007077	1.92e-166	555.0	49.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Paenibacillus polymyxa ATCC 842]
G1_3_0	fig|1046627.3.peg.1557	559	1340	0.474168435952	4.68e-166	568.0	51.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Bizionia argentinensis JUB59]
G1_3_0	fig|1007103.3.peg.233	559	1329	0.470276008493	1.23e-164	558.0	47.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Paenibacillus elgii B69]
G1_1_1	fig|102616.3.peg.999	263	685	0.513878469617	1.45e-81	262.0	53.0		Flagellar basal-body rod protein FlgG [Helicobacter pylori N6]
G1_1_1	fig|102618.3.peg.1378	263	685	0.513878469617	1.45e-81	262.0	53.0		Flagellar basal-body rod protein FlgG [Helicobacter pylori NCTC 11638]
G1_1_1	fig|102608.4.peg.1583	263	684	0.513128282071	1.96e-81	262.0	53.0		Flagellar basal-body rod protein FlgG [Helicobacter pylori F32]
G1_1_1	fig|1030145.6.peg.3727	255	640	0.480120030008	9.28e-76	254.0	48.0		Flagellar basal-body rod protein FlgG [Pseudomonas tolaasii PMS117]
G1_1_1	fig|1038923.3.peg.1503	255	637	0.477869467367	2.26e-75	254.0	49.0		Flagellar basal-body rod protein FlgG [Pseudomonas fluorescens Q8r1-96]
G1_3_1	fig|1034347.3.peg.3371	187	434	0.453027139875	3.47e-49	185.0	45.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Bacillus sp. JC63]
G1_3_1	fig|1001582.3.peg.3540	189	431	0.449895615866	8.47e-49	187.0	46.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Bacillus amyloliquefaciens LL3]
G1_3_1	fig|1007654.3.peg.238	189	431	0.449895615866	8.47e-49	187.0	46.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Bacillus sp. 916]
G1_3_1	fig|1034836.4.peg.3464	189	431	0.449895615866	8.47e-49	187.0	46.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Bacillus amyloliquefaciens XH7]
G1_3_1	fig|1036672.3.peg.1219	190	424	0.442588726514	6.77e-48	188.0	43.0	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) [Tetrathiobacter kashmirensis WT001]
G1_4_3	fig|1033802.3.peg.3626	64	190	0.526315789474	1.32e-13	63.0	55.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Salinisphaera shabanensis E1L3A]
G1_4_3	fig|1045855.3.peg.711	67	172	0.476454293629	3.75e-11	68.0	58.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Pseudoxanthomonas spadix BD-a59]
G1_4_3	fig|1004149.3.peg.1388	66	159	0.440443213296	2.17e-09	63.0	55.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Mesoflavibacter zeaxanthinifaciens S86]
G1_3_2	fig|1073573.3.peg.1225	563	1226	0.430780042164	2.38e-151	550.0	46.0		DNA repair protein RecN [SAR324 cluster bacterium JCVI-SC AAA005]
G1_1_0	fig|1073573.3.peg.2040	254	889	0.69453125	7.04e-108	253.0	67.0		Flagellar basal-body rod protein FlgF [SAR324 cluster bacterium JCVI-SC AAA005]
G1_4_3	fig|105559.4.peg.3300	67	194	0.537396121884	3.73e-14	66.0	51.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Nitrosococcus watsoni C-113]
G1_4_3	fig|1095923.4.peg.4058	67	169	0.468144044321	9.58e-11	68.0	57.0	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2) [Stenotrophomonas maltophilia RR-10]
G1_2_0	fig|913329.4.peg.1507	739	3615	0.954329461457	0.0	738.0	96.0	2.7.7.42	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42) [SAR324 cluster bacterium SCGC AAA001-C10]
G1_3_2	fig|913329.4.peg.1508	570	2818	0.990161630358	0.0	569.0	98.0		DNA repair protein RecN [SAR324 cluster bacterium SCGC AAA001-C10]
G1_1_0	fig|913329.4.peg.1600	257	1279	0.99921875	3.46e-158	256.0	99.0		flagellar basal body rod protein [SAR324 cluster bacterium SCGC AAA001-C10]
G1_4_1	fig|913329.4.peg.1632	106	508	0.980694980695	9.89e-59	105.0	98.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
G1_1_2	fig|913329.4.peg.1602	67	329	0.982089552239	2.09e-33	66.0	98.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
G1_4_0	fig|913329.4.peg.1633	66	329	0.891598915989	2.09e-33	65.0	98.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
