#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
N4_0_0	fig|102129.3.peg.2279	211	597	0.486552567237	1.23e-71	217.0	53.0	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21) [Leptolyngbya sp. PCC 7375]
N4_0_0	fig|1004787.3.peg.3859	198	572	0.466177669112	2.24e-68	200.0	51.0	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21) [Alteromonas macleodii str. 'Balearic Sea AD45']
N4_0_0	fig|1004785.3.peg.3658	198	571	0.465362673187	3.03e-68	200.0	51.0	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21) [Alteromonas macleodii str. 'Black Sea 11']
N4_0_0	fig|1004788.3.peg.3771	198	567	0.462102689487	1.01e-67	200.0	51.0	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21) [Alteromonas macleodii str. 'English Channel 673']
N4_0_0	fig|1004786.3.peg.3998	199	559	0.455582722086	1.11e-66	201.0	49.0	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21) [Alteromonas macleodii AltDE1]
N4_1_0	fig|1144316.3.peg.3348	204	698	0.596071733561	8.13e-85	203.0	63.0		FIG00487463: hypothetical protein [Chryseobacterium sp. CF314]
N4_1_0	fig|1117646.3.peg.1952	204	695	0.593509820666	2e-84	203.0	59.0		FIG00487463: hypothetical protein [Elizabethkingia anophelis Ag1]
N4_1_0	fig|1144304.3.peg.1222	203	596	0.508966695132	1.66e-71	203.0	54.0		FIG00487463: hypothetical protein [Caulobacter sp. AP07]
N4_1_0	fig|1144306.3.peg.1953	202	588	0.502134927412	1.83e-70	200.0	53.0		hypothetical protein [Rhizobium sp. AP16]
N4_1_0	fig|1166018.3.peg.281	199	703	0.600341588386	1.81e-85	197.0	61.0		FIG00487463: hypothetical protein [Fibrella aestuarina]
N4_2_0	fig|242507.1.peg.1682	60	168	0.523364485981	3.35e-12	60.0	61.0		hypothetical protein [Magnaporthe grisea 70-15]
N4_2_0	fig|44056.3.peg.5508	62	321	1.0	2.84e-35	61.0	100.0		hypothetical protein [Aureococcus anophagefferens CCMP 1984]
