ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
gridtest_80_0	182	1	183	gridtest_80	184	-		root	hypothetical protein
gridtest_81_0	302	1	303	gridtest_81	303	+		root	hypothetical protein
gridtest_137_0	1643	244	1887	gridtest_137	61757	-		root	COG1151 # C Energy production conversion Function: 6Fe-6S prismane cluster-containing protein Organism: Escherichia coli O157:H7 (Ecs)
gridtest_137_1	410	1899	2309	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_2	875	2478	3353	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_3	422	3543	3965	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_4	899	4206	5105	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_5	434	5157	5591	gridtest_137	61757	+		root	NULL # G Carbohydrate transport metabolism Function: ABC-type sugar system, periplasmic component Organism: Deinococcus radiodurans (Dra)
gridtest_137_6	1547	5970	7517	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_7	992	7580	8572	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_8	902	8592	9494	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_9	545	9611	10156	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_10	3539	10579	14118	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_11	722	14119	14841	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_12	494	14852	15346	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_13	635	15419	16054	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_14	458	16287	16745	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_15	1904	16881	18785	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_16	1559	18748	20307	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_17	671	20682	21353	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_18	947	21372	22319	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_19	2042	22348	24390	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_20	743	24418	25161	gridtest_137	61757	-		root	COG1187 # J Translation, ribosomal structure biogenesis Function: 16S rRNA uridine-516 pseudouridylate synthase related synthases Organism: Bacillus halodurans (Bha)
gridtest_137_21	599	25182	25781	gridtest_137	61757	-		root	hypothetical protein
gridtest_137_22	860	25839	26699	gridtest_137	61757	-	5.3.1.16	root	1-(5-phosphoribosyl)-5- imidazole-4-carboxamide isomerase OS Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 SI) GN hisA PE 3 SV 1 # UNIPROT A5CZ74 PRIBFAICARPISOM-RXN 5.3.1.16
gridtest_137_23	605	26736	27341	gridtest_137	61757	-		root	COG0118 # E Amino acid transport metabolism Function: Glutamine amidotransferase Organism: Aquifex aeolicus (Aae)
gridtest_137_24	845	27501	28346	gridtest_137	61757	+		root	COG0543 # HC Function: 2-polyprenylphenol hydroxylase related flavodoxin oxidoreductases Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_25	1424	28452	29876	gridtest_137	61757	+		root	COG0493 # ER Function: NADPH-dependent glutamate synthase beta chain related oxidoreductases Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_26	407	29938	30345	gridtest_137	61757	+		root	COG0864 # K Transcription Function: Predicted transcriptional regulators containing CopG/Arc/MetJ DNA-binding domain metal-binding Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_27	773	30471	31244	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_28	1013	31345	32358	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_29	767	32358	33125	gridtest_137	61757	+		root	hypothetical protein
gridtest_137_30	722	33137	33859	gridtest_137	61757	+		root	COG1122 # P Inorganic ion transport metabolism Function: ABC-type cobalt system, ATPase component Organism: Methanothermobacter thermautotrophicus (Mth)
gridtest_137_31	431	34012	34443	gridtest_137	61757	-		root	COG4446 # S Function unknown Function: Uncharacterized protein conserved bacteria Organism: Nostoc sp. PCC 7120 (Nos)
gridtest_137_32	842	34656	35498	gridtest_137	61757	-		root	hypothetical protein
