orf_id	ref dbname	EC	product	value
M1_1_0				
	refseq-nr-2014-01-18		glycoside hydrolase, family 5, partial	5.0
	kegg-pep-2011-06-18	3.2.1.4	cel5G cellulase (EC:3.2.1.4)	13.0
	CAZY_2014_09_04		glycoside hydrolase family 5 [ (CBM6)	6.0
	seed-2014-01-30		FIG00487463: 	1.0

M1_0_0				
	COG_2013-12-27		COG1472 # G Carbohydrate transport metabolism Function: Beta-glucosidase-related glycosidases Organism: Caulobacter vibrioides (Ccr)	13.0
	refseq-nr-2014-01-18		beta-glucosidase-like glycosyl hydrolase	3.0
	kegg-pep-2011-06-18	3.2.1.21	glycoside hydrolase, family 3 (EC:3.2.1.21) K01188 beta-glucosidase	17.0
	CAZY_2014_09_04		Glycoside hydrolase, family 3 [ (GH3)	6.0
	seed-2014-01-30	3.2.1.21	Periplasmic beta-glucosidase (EC 3.2.1.21)	14.0

