ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
P1_18_0	81	0	243	P1_18	243	+		root	hypothetical protein
P1_19_0	81	0	243	P1_19	243	+		root	hypothetical protein
P1_12_0	44	0	132	P1_12	132	+		root	hypothetical protein
P1_13_0	44	0	132	P1_13	132	+		root	hypothetical protein
P1_10_0	27	0	81	P1_10	81	+		root	hypothetical protein
P1_11_0	57	0	171	P1_11	171	+		root	hypothetical protein
P1_16_0	31	0	93	P1_16	93	+		root	hypothetical protein
P1_17_0	100	0	300	P1_17	300	+	6.2.1.3	root	Long chain acyl-CoA synthetase 4 OS Arabidopsis thaliana GN LACS4 PE 2 SV 1 # UNIPROT Q9T0A0 RXN-7904 6.2.1.3
P1_14_0	50	0	150	P1_14	150	+		root	hypothetical protein
P1_15_0	55	0	165	P1_15	165	+		root	hypothetical protein
P1_109_0	28	0	84	P1_109	84	+		root	hypothetical protein
P1_108_0	25	0	75	P1_108	75	+		root	hypothetical protein
P1_103_0	29	0	87	P1_103	87	+		root	hypothetical protein
P1_102_0	35	0	105	P1_102	105	+		root	hypothetical protein
P1_101_0	34	0	102	P1_101	102	+		root	hypothetical protein
P1_100_0	45	0	135	P1_100	135	+		root	hypothetical protein
P1_107_0	131	0	393	P1_107	393	+		root	COG1158 # K Transcription Function: termination factor Organism: Neisseria meningitidis Z2491 (NmA)
P1_106_0	42	0	126	P1_106	126	+		root	hypothetical protein
P1_105_0	31	0	93	P1_105	93	+		root	hypothetical protein
P1_104_0	42	0	126	P1_104	126	+		root	hypothetical protein
P1_81_0	46	0	138	P1_81	138	+		root	hypothetical protein
P1_80_0	41	0	123	P1_80	123	+		root	hypothetical protein
P1_83_0	19	0	57	P1_83	57	+		root	hypothetical protein
P1_82_0	48	0	144	P1_82	144	+		root	hypothetical protein
P1_85_0	414	0	1242	P1_85	1242	+		root	hypothetical protein
P1_84_0	45	0	135	P1_84	135	+		root	hypothetical protein
P1_87_0	82	0	246	P1_87	246	+		root	hypothetical protein
P1_86_0	99	0	297	P1_86	297	+		root	COG4804 # S Function unknown Function: Uncharacterized conserved protein Organism: Rickettsia conorii (Rco)
P1_89_0	63	0	189	P1_89	189	+		root	hypothetical protein
P1_88_0	23	0	69	P1_88	69	+		root	hypothetical protein
P1_27_0	62	0	186	P1_27	186	+		root	hypothetical protein
P1_26_0	92	0	276	P1_26	276	+		root	hypothetical protein
P1_25_0	32	0	96	P1_25	96	+		root	hypothetical protein
P1_24_0	96	0	288	P1_24	288	+		root	COG0618 # R General function prediction only Function: Exopolyphosphatase-related proteins Organism: Halobacterium sp. NRC-1 (Hbs)
P1_23_0	20	0	60	P1_23	60	+		root	hypothetical protein
P1_22_0	28	0	84	P1_22	84	+		root	hypothetical protein
P1_21_0	51	0	153	P1_21	153	+		root	hypothetical protein
P1_20_0	81	0	243	P1_20	243	+		root	hypothetical protein
P1_29_0	58	0	174	P1_29	174	+		root	hypothetical protein
P1_28_0	270	0	810	P1_28	810	+		root	hypothetical protein
P1_92_0	64	0	192	P1_92	192	+		root	hypothetical protein
P1_93_0	31	0	93	P1_93	93	+		root	hypothetical protein
P1_90_0	110	0	330	P1_90	330	+		root	hypothetical protein
P1_91_0	107	0	321	P1_91	321	+		root	hypothetical protein
P1_96_0	51	0	153	P1_96	153	+		root	hypothetical protein
P1_97_0	54	0	162	P1_97	162	+		root	hypothetical protein
P1_94_0	31	0	93	P1_94	93	+		root	hypothetical protein
P1_95_0	35	0	105	P1_95	105	+		root	hypothetical protein
P1_98_0	38	0	114	P1_98	114	+		root	hypothetical protein
P1_99_0	44	0	132	P1_99	132	+		root	hypothetical protein
P1_30_0	44	0	132	P1_30	132	+		root	hypothetical protein
P1_31_0	42	0	126	P1_31	126	+		root	hypothetical protein
P1_32_0	64	0	192	P1_32	192	+		root	hypothetical protein
P1_33_0	36	0	108	P1_33	108	+		root	hypothetical protein
P1_34_0	39	0	117	P1_34	117	+		root	hypothetical protein
P1_35_0	39	0	117	P1_35	117	+		root	hypothetical protein
P1_36_0	91	0	273	P1_36	273	+		root	hypothetical protein
P1_37_0	64	0	192	P1_37	192	+		root	hypothetical protein
P1_38_0	270	0	810	P1_38	810	+		root	hypothetical protein
P1_39_0	62	0	186	P1_39	186	+		root	hypothetical protein
P1_45_0	175	0	525	P1_45	525	+		root	hypothetical protein
P1_44_0	73	0	219	P1_44	219	+		root	hypothetical protein
P1_47_0	70	0	210	P1_47	210	+		root	hypothetical protein
P1_46_0	32	0	96	P1_46	96	+		root	hypothetical protein
P1_41_0	188	0	564	P1_41	564	+		root	hypothetical protein
P1_40_0	77	0	231	P1_40	231	+		root	hypothetical protein
P1_43_0	33	0	99	P1_43	99	+		root	hypothetical protein
P1_42_0	40	0	120	P1_42	120	+		root	hypothetical protein
P1_49_0	75	0	225	P1_49	225	+		root	hypothetical protein
P1_48_0	68	0	204	P1_48	204	+		root	hypothetical protein
P1_56_0	100	0	300	P1_56	300	+		root	COG2201 # NT Function: Chemotaxis response regulator containing CheY-like receiver domain methylesterase Organism: Nostoc sp. PCC 7120 (Nos)
P1_57_0	42	0	126	P1_57	126	+		root	hypothetical protein
P1_54_0	165	0	495	P1_54	495	+		root	hypothetical protein
P1_55_0	89	0	267	P1_55	267	+	2.5.1.47	root	Cysteine synthase (Fragment) OS Staphylococcus haemolyticus GN cysK PE 3 SV 1 # UNIPROT Q59918 ACSERLY-RXN 2.5.1.47
P1_52_0	70	0	210	P1_52	210	+		root	COG0772 # D Cell cycle control, cell division, chromosome partitioning Function: Bacterial division membrane protein Organism: Haemophilus influenzae (Hin)
P1_53_0	32	0	96	P1_53	96	+		root	hypothetical protein
P1_50_0	131	0	393	P1_50	393	+		root	hypothetical protein
P1_51_0	84	0	252	P1_51	252	+		root	hypothetical protein
P1_58_0	61	0	183	P1_58	183	+		root	hypothetical protein
P1_59_0	49	0	147	P1_59	147	+		root	hypothetical protein
P1_147_0	38	0	114	P1_147	114	+		root	hypothetical protein
P1_146_0	35	0	105	P1_146	105	+		root	hypothetical protein
P1_145_0	35	0	105	P1_145	105	+		root	hypothetical protein
P1_144_0	29	0	87	P1_144	87	+		root	hypothetical protein
P1_143_0	40	0	120	P1_143	120	+		root	hypothetical protein
P1_142_0	70	0	210	P1_142	210	+		root	hypothetical protein
P1_141_0	94	0	282	P1_141	282	+		root	hypothetical protein
P1_140_0	75	0	225	P1_140	225	+		root	hypothetical protein
P1_149_0	62	0	186	P1_149	186	+		root	hypothetical protein
P1_148_0	37	0	111	P1_148	111	+		root	hypothetical protein
P1_63_0	38	0	114	P1_63	114	+		root	hypothetical protein
P1_62_0	57	0	171	P1_62	171	+		root	hypothetical protein
P1_61_0	45	0	135	P1_61	135	+		root	hypothetical protein
P1_60_0	41	0	123	P1_60	123	+		root	hypothetical protein
P1_67_0	45	0	135	P1_67	135	+		root	hypothetical protein
P1_66_0	73	0	219	P1_66	219	+		root	hypothetical protein
P1_65_0	81	0	243	P1_65	243	+		root	hypothetical protein
P1_64_0	148	0	444	P1_64	444	+		root	hypothetical protein
P1_69_0	56	0	168	P1_69	168	+		root	hypothetical protein
P1_68_0	73	0	219	P1_68	219	+		root	hypothetical protein
