COGID	Function	Gene Count
COG4755	Uncharacterized protein conserved in archaea	0
COG4950	Uncharacterized protein conserved in bacteria	0
COG5369	Uncharacterized conserved protein	0
COG3254	Uncharacterized conserved protein	0
COG3266	Uncharacterized protein conserved in bacteria	0
COG3011	Uncharacterized protein conserved in bacteria	0
COG2983	Uncharacterized conserved protein	0
COG3013	Uncharacterized conserved protein	0
COG3014	Uncharacterized protein conserved in bacteria	0
COG3016	Uncharacterized iron-regulated protein	0
COG4920	Predicted membrane protein	0
COG2989	Uncharacterized protein conserved in bacteria	0
COG4199	Uncharacterized protein conserved in bacteria	0
COG4923	Uncharacterized conserved protein	0
COG3159	Uncharacterized protein conserved in bacteria	0
COG5394	Uncharacterized protein conserved in bacteria	0
COG4655	Predicted membrane protein	0
COG5532	Uncharacterized conserved protein	0
COG4652	Uncharacterized protein conserved in bacteria	0
COG4718	Phage-related protein	0
COG4719	Uncharacterized protein conserved in bacteria	0
COG3151	Uncharacterized protein conserved in bacteria	0
COG4717	Uncharacterized conserved protein	0
COG4714	Uncharacterized membrane-anchored protein conserved in bacteria	0
COG3152	Predicted membrane protein	0
COG4712	Uncharacterized protein conserved in bacteria	0
COG4713	Predicted membrane protein	0
COG3157	Hemolysin-coregulated protein (uncharacterized)	0
COG4711	Predicted membrane protein	0
COG4121	Uncharacterized conserved protein	0
COG4329	Predicted membrane protein	0
COG4125	Predicted membrane protein	0
COG1872	Uncharacterized conserved protein	0
COG1873	Uncharacterized conserved protein	0
COG2383	Uncharacterized conserved protein	0
COG5477	Predicted small integral membrane protein	0
COG2380	Uncharacterized protein conserved in bacteria	0
COG3182	Uncharacterized iron-regulated membrane protein	0
COG3900	Predicted periplasmic protein	0
COG3906	Uncharacterized protein conserved in bacteria	0
COG3904	Predicted periplasmic protein	0
COG3908	Uncharacterized protein conserved in bacteria	0
COG3530	Uncharacterized protein conserved in bacteria	0
COG5237	Predicted membrane protein	0
COG5125	Uncharacterized conserved protein	0
COG5457	Uncharacterized conserved small protein	0
COG3394	Uncharacterized protein conserved in bacteria	0
COG4430	Uncharacterized protein conserved in bacteria	0
COG5452	Uncharacterized conserved protein	0
COG5453	Uncharacterized conserved protein	0
COG5451	Predicted secreted protein	0
COG2028	Uncharacterized conserved protein	0
COG2029	Uncharacterized conserved protein	0
COG2187	Uncharacterized protein conserved in bacteria	0
COG4722	Phage-related protein	0
COG5642	Uncharacterized conserved protein	0
COG4424	Uncharacterized protein conserved in bacteria	0
COG3708	Uncharacterized protein conserved in bacteria	0
COG4721	Predicted membrane protein	0
COG4818	Predicted membrane protein	0
COG4720	Predicted membrane protein	0
COG3012	Uncharacterized protein conserved in bacteria	0
COG4904	Uncharacterized protein conserved in archaea	0
COG3538	Uncharacterized conserved protein	0
COG3367	Uncharacterized conserved protein	0
COG5465	Uncharacterized conserved protein	0
COG4873	Uncharacterized protein conserved in bacteria	0
COG2718	Uncharacterized conserved protein	0
COG4871	Uncharacterized protein conserved in archaea	0
COG5015	Uncharacterized conserved protein	0
COG4877	Uncharacterized protein conserved in bacteria	0
COG4876	Uncharacterized protein conserved in bacteria	0
COG4685	Uncharacterized protein conserved in bacteria	0
COG4861	Uncharacterized protein conserved in bacteria	0
COG5395	Predicted membrane protein	0
COG1556	Uncharacterized conserved protein	0
COG4879	Uncharacterized protein conserved in archaea	0
COG4878	Uncharacterized protein conserved in bacteria	0
COG5393	Predicted membrane protein	0
COG1550	Uncharacterized protein conserved in bacteria	0
COG4226	Uncharacterized protein encoded in hypervariable junctions of pilus gene clusters	0
COG3018	Uncharacterized protein conserved in bacteria	0
COG4224	Uncharacterized protein conserved in bacteria	0
COG5389	Uncharacterized protein conserved in bacteria	0
COG4222	Uncharacterized protein conserved in bacteria	0
COG4223	Uncharacterized protein conserved in bacteria	0
COG3878	Uncharacterized protein conserved in bacteria	0
COG3879	Uncharacterized protein conserved in bacteria	0
COG3876	Uncharacterized protein conserved in bacteria	0
COG3877	Uncharacterized protein conserved in bacteria	0
COG3874	Uncharacterized conserved protein	0
COG3875	Uncharacterized conserved protein	0
COG4381	Mu-like prophage protein gp46	0
COG0432	Uncharacterized conserved protein	0
COG3870	Uncharacterized protein conserved in bacteria	0
COG3978	Acetolactate synthase (isozyme II), small (regulatory) subunit	0
COG5402	Uncharacterized conserved protein	0
COG4066	Uncharacterized protein conserved in archaea	0
COG2052	Uncharacterized protein conserved in bacteria	0
COG4549	Uncharacterized protein conserved in bacteria	0
COG2119	Predicted membrane protein	0
COG4815	Uncharacterized protein conserved in bacteria	0
COG4544	Uncharacterized conserved protein	0
COG4541	Predicted membrane protein	0
COG5626	Uncharacterized conserved small protein	0
COG5638	Uncharacterized conserved protein	0
COG4817	Uncharacterized protein conserved in bacteria	0
COG5321	Uncharacterized protein conserved in bacteria	0
COG1520	FOG: WD40-like repeat	0
COG5463	Predicted integral membrane protein	0
COG2879	Uncharacterized small protein	0
COG1700	Uncharacterized conserved protein	0
COG1701	Uncharacterized protein conserved in archaea	0
COG1255	Uncharacterized protein conserved in archaea	0
COG1704	Uncharacterized conserved protein	0
COG3554	Uncharacterized protein conserved in bacteria	0
COG1259	Uncharacterized conserved protein	0
COG4306	Uncharacterized protein conserved in bacteria	0
COG3506	Uncharacterized conserved protein	0
COG2339	Predicted membrane protein	0
COG2237	Predicted membrane protein	0
COG5304	Uncharacterized protein conserved in bacteria	0
COG4739	Uncharacterized protein containing a ferredoxin domain	0
COG4907	Predicted membrane protein	0
COG4906	Predicted membrane protein	0
COG4905	Predicted membrane protein	0
COG2331	Uncharacterized protein conserved in bacteria	0
COG5420	Uncharacterized conserved small protein containing a coiled-coil domain	0
COG4902	Uncharacterized protein conserved in archaea	0
COG3371	Predicted membrane protein	0
COG3370	Uncharacterized protein conserved in archaea	0
COG3373	Uncharacterized protein conserved in archaea	0
COG3372	Uncharacterized conserved protein	0
COG3375	Uncharacterized conserved protein	0
COG1909	Uncharacterized protein conserved in archaea	0
COG3377	Uncharacterized conserved protein	0
COG4315	Uncharacterized protein conserved in bacteria	0
COG3270	Uncharacterized conserved protein	0
COG4090	Uncharacterized protein conserved in archaea	0
COG1906	Uncharacterized conserved protein	0
COG3273	Uncharacterized conserved protein	0
COG1900	Uncharacterized conserved protein	0
COG1901	Uncharacterized conserved protein	0
COG3503	Predicted membrane protein	0
COG1416	Uncharacterized conserved protein	0
COG1417	Uncharacterized conserved protein	0
COG1415	Uncharacterized conserved protein	0
COG1799	Uncharacterized protein conserved in bacteria	0
COG3521	Uncharacterized protein conserved in bacteria	0
COG3522	Uncharacterized protein conserved in bacteria	0
COG3523	Uncharacterized protein conserved in bacteria	0
COG1795	Uncharacterized conserved protein	0
COG3124	Uncharacterized protein conserved in bacteria	0
COG4926	Phage-related protein	0
COG1791	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0
COG1790	Uncharacterized protein conserved in archaea	0
COG5589	Uncharacterized conserved protein	0
COG4715	Uncharacterized conserved protein	0
COG3126	Uncharacterized protein conserved in bacteria	0
COG3490	Uncharacterized protein conserved in bacteria	0
COG5138	Uncharacterized conserved protein	0
COG2426	Predicted membrane protein	0
COG2427	Uncharacterized conserved protein	0
COG1774	Uncharacterized homolog of PSP1	0
COG1772	Uncharacterized protein conserved in archaea	0
COG1771	Uncharacterized protein conserved in archaea	0
COG1679	Uncharacterized conserved protein	0
COG3813	Uncharacterized protein conserved in bacteria	0
COG3512	Uncharacterized protein conserved in bacteria	0
COG3117	Uncharacterized protein conserved in bacteria	0
COG3111	Uncharacterized conserved protein	0
COG1673	Uncharacterized protein conserved in archaea	0
COG2428	Uncharacterized conserved protein	0
COG2429	Uncharacterized conserved protein	0
COG4994	Uncharacterized protein conserved in bacteria	0
COG3797	Uncharacterized protein conserved in bacteria	0
COG5375	Uncharacterized protein conserved in bacteria	0
COG4997	Uncharacterized conserved protein	0
COG4990	Uncharacterized protein conserved in bacteria	0
COG4991	Uncharacterized protein with a bacterial SH3 domain homologue	0
COG5276	Uncharacterized conserved protein	0
COG3807	Uncharacterized protein conserved in bacteria	0
COG5482	Uncharacterized conserved protein	0
COG1385	Uncharacterized protein conserved in bacteria	0
COG2343	Uncharacterized protein conserved in bacteria	0
COG2340	Uncharacterized protein with SCP/PR1 domains	0
COG4367	Uncharacterized protein conserved in bacteria	0
COG1839	Uncharacterized conserved protein	0
COG4365	Uncharacterized protein conserved in bacteria	0
COG2975	Uncharacterized protein conserved in bacteria	0
COG2976	Uncharacterized protein conserved in bacteria	0
COG4009	Uncharacterized protein conserved in archaea	0
COG4006	Uncharacterized protein conserved in archaea	0
COG2979	Uncharacterized protein conserved in bacteria	0
COG4004	Uncharacterized protein conserved in archaea	0
COG1833	Uncharacterized conserved protein	0
COG5650	Predicted integral membrane protein	0
COG4003	Uncharacterized protein conserved in archaea	0
COG1836	Predicted membrane protein	0
COG4320	Uncharacterized protein conserved in bacteria	0
COG4127	Uncharacterized conserved protein	0
COG5617	Predicted integral membrane protein	0
COG3790	Predicted membrane protein	0
COG4895	Uncharacterized conserved protein	0
COG4129	Predicted membrane protein	0
COG3742	Uncharacterized protein conserved in bacteria	0
COG3743	Uncharacterized conserved protein	0
COG3744	Uncharacterized protein conserved in bacteria	0
COG3657	Uncharacterized protein conserved in bacteria	0
COG3748	Predicted membrane protein	0
COG3749	Uncharacterized protein conserved in bacteria	0
COG4708	Predicted membrane protein	0
COG5416	Uncharacterized integral membrane protein	0
COG5417	Uncharacterized small protein	0
COG2512	Uncharacterized membrane-associated protein/domain	0
COG3068	Uncharacterized protein conserved in bacteria	0
COG2510	Predicted membrane protein	0
COG3181	Uncharacterized protein conserved in bacteria	0
COG4723	Phage-related protein, tail component	0
COG3603	Uncharacterized conserved protein	0
COG3184	Uncharacterized protein conserved in bacteria	0
COG4502	Uncharacterized protein conserved in bacteria	0
COG3189	Uncharacterized conserved protein	0
COG4323	Predicted membrane protein	0
COG1753	Uncharacterized conserved protein	0
COG4729	Uncharacterized conserved protein	0
COG4728	Uncharacterized protein conserved in bacteria	0
COG4836	Predicted membrane protein	0
COG5427	Uncharacterized membrane protein	0
COG4383	Mu-like prophage protein gp29	0
COG4307	Uncharacterized protein conserved in bacteria	0
COG3798	Uncharacterized protein conserved in bacteria	0
COG5542	Predicted integral membrane protein	0
COG4506	Uncharacterized protein conserved in bacteria	0
COG3832	Uncharacterized conserved protein	0
COG3382	Uncharacterized conserved protein	0
COG3831	Uncharacterized conserved protein	0
COG3384	Uncharacterized conserved protein	0
COG3837	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0
COG3388	Uncharacterized protein conserved in archaea	0
COG3389	Uncharacterized protein conserved in archaea	0
COG1610	Uncharacterized conserved protein	0
COG5283	Phage-related tail protein	0
COG4269	Predicted membrane protein	0
COG0779	Uncharacterized protein conserved in bacteria	0
COG2155	Uncharacterized conserved protein	0
COG4260	Putative virion core protein (lumpy skin disease virus)	0
COG3930	Uncharacterized protein conserved in bacteria	0
COG3937	Uncharacterized conserved protein	0
COG4267	Predicted membrane protein	0
COG5663	Uncharacterized conserved protein	0
COG2764	Uncharacterized protein conserved in bacteria	0
COG4280	Predicted membrane protein	0
COG4508	Uncharacterized protein conserved in bacteria	0
COG4050	Uncharacterized protein conserved in archaea	0
COG5469	Predicted metal-binding protein	0
COG5468	Predicted secreted (periplasmic) protein	0
COG2013	Uncharacterized conserved protein	0
COG5466	Predicted small metal-binding protein	0
COG4466	Uncharacterized protein conserved in bacteria	0
COG4467	Uncharacterized protein conserved in bacteria	0
