#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
gridtest_137_0	CAC2750	537	1663	0.590344337948	3.81e-207	525.0	62.0		COG1151 # Func_class: C Energy production and conversion # Function: 6Fe-6S prismane cluster-containing protein # Organism: Clostridium acetobutylicum (Cac)
gridtest_137_0	CAC3428	542	1656	0.58785942492	3.03e-206	567.0	59.0		COG1151 # Func_class: C Energy production and conversion # Function: 6Fe-6S prismane cluster-containing protein # Organism: Clostridium acetobutylicum (Cac)
gridtest_137_0	MJ0765	544	1653	0.586794462194	7.38e-206	544.0	57.0		COG1151 # Func_class: C Energy production and conversion # Function: 6Fe-6S prismane cluster-containing protein # Organism: Methanococcus jannaschii (Mja)
gridtest_137_0	FN0684	535	1515	0.537806176784	4.28e-188	551.0	55.0		COG1151 # Func_class: C Energy production and conversion # Function: 6Fe-6S prismane cluster-containing protein # Organism: Fusobacterium nucleatum (Fnu)
gridtest_137_0	ECs0959	540	1038	0.368477103301	1.08e-126	550.0	42.0		COG1151 # Func_class: C Energy production and conversion # Function: 6Fe-6S prismane cluster-containing protein # Organism: Escherichia coli O157:H7 (Ecs)
gridtest_137_20	BH1576	235	468	0.373503591381	2.54e-53	235.0	43.0		COG1187 # Func_class: J Translation, ribosomal structure and biogenesis # Function: 16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases # Organism: Bacillus halodurans (Bha)
gridtest_137_5	DR1439	141	446	0.575483870968	1.72e-50	138.0	60.0		NULL # Func_class: G Carbohydrate transport and metabolism # Function: ABC-type sugar transport system, periplasmic component # Organism: Deinococcus radiodurans (Dra)
gridtest_137_25	MA3787	454	1387	0.564969450102	1.28e-171	447.0	61.0		COG0493 # Func_class: ER # Function: NADPH-dependent glutamate synthase beta chain and related oxidoreductases # Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_39	BH0649	664	1333	0.391483113069	1.15e-164	657.0	43.0		COG0272 # Func_class: L Replication, recombination and repair # Function: NAD-dependent DNA ligase (contains BRCT domain type II) # Organism: Bacillus halodurans (Bha)
gridtest_137_39	BS_yerG	664	1326	0.389427312775	9.12e-164	656.0	42.0		COG0272 # Func_class: L Replication, recombination and repair # Function: NAD-dependent DNA ligase (contains BRCT domain type II) # Organism: Bacillus subtilis (Bsu)
gridtest_137_39	lin1870	652	1311	0.385022026432	7.78e-162	644.0	43.0		COG0272 # Func_class: L Replication, recombination and repair # Function: NAD-dependent DNA ligase (contains BRCT domain type II) # Organism: Listeria innocua (Lin)
gridtest_137_39	all1717	663	1308	0.384140969163	1.89e-161	663.0	42.0		COG0272 # Func_class: L Replication, recombination and repair # Function: NAD-dependent DNA ligase (contains BRCT domain type II) # Organism: Nostoc sp. PCC 7120 (Nos)
gridtest_137_39	aq_633	662	1302	0.382378854626	1.12e-160	658.0	44.0		COG0272 # Func_class: L Replication, recombination and repair # Function: NAD-dependent DNA ligase (contains BRCT domain type II) # Organism: Aquifex aeolicus (Aae)
gridtest_137_25	TM1640	456	1275	0.519348268839	3.35e-157	453.0	56.0		COG0493 # Func_class: ER # Function: NADPH-dependent glutamate synthase beta chain and related oxidoreductases # Organism: Thermotoga maritima (Tma)
gridtest_137_25	PAB1738	459	1201	0.489205702648	1.12e-147	464.0	56.0		COG0493 # Func_class: ER # Function: NADPH-dependent glutamate synthase beta chain and related oxidoreductases # Organism: Pyrococcus abyssi (Pab)
gridtest_137_25	PH1873	460	1145	0.466395112016	1.82e-140	466.0	55.0		COG0493 # Func_class: ER # Function: NADPH-dependent glutamate synthase beta chain and related oxidoreductases # Organism: Pyrococcus horikoshii (Pho)
gridtest_137_25	PAB1214	460	1136	0.462729124236	2.61e-139	466.0	54.0		COG0493 # Func_class: ER # Function: NADPH-dependent glutamate synthase beta chain and related oxidoreductases # Organism: Pyrococcus abyssi (Pab)
gridtest_137_24	PAB1737	275	850	0.590277777778	1.71e-102	274.0	59.0		COG0543 # Func_class: HC # Function: 2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases # Organism: Pyrococcus abyssi (Pab)
gridtest_137_24	MA3786	275	766	0.531944444444	1.11e-91	274.0	53.0		COG0543 # Func_class: HC # Function: 2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases # Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_24	TP0736	265	677	0.470138888889	3.17e-80	265.0	49.0		COG0543 # Func_class: HC # Function: 2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases # Organism: Treponema pallidum (Tpa)
gridtest_137_24	TM1639	269	639	0.44375	2.47e-75	266.0	47.0		COG0543 # Func_class: HC # Function: 2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases # Organism: Thermotoga maritima (Tma)
gridtest_137_41	MA1668	222	551	0.454995871181	5.25e-64	218.0	47.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_41	MA2488	201	544	0.44921552436	4.18e-63	199.0	51.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Methanosarcina acetivorans str.C2A (Mac)
gridtest_137_41	SMb20370	213	542	0.447563996697	7.56e-63	212.0	50.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Sinorhizobium meliloti (Sme)
gridtest_137_41	lolD	209	533	0.440132122213	1.09e-61	207.0	47.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Escherichia coli K12 (Eco)
gridtest_137_41	ECs1495	209	530	0.437654830718	2.65e-61	207.0	47.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Escherichia coli O157:H7 (Ecs)
gridtest_137_30	MJ1088	235	475	0.386178861789	3.19e-54	239.0	41.0		COG1122 # Func_class: P Inorganic ion transport and metabolism # Function: ABC-type cobalt transport system, ATPase component # Organism: Methanococcus jannaschii (Mja)
gridtest_137_30	MTH1704	235	473	0.384552845528	5.76e-54	239.0	41.0		COG1122 # Func_class: P Inorganic ion transport and metabolism # Function: ABC-type cobalt transport system, ATPase component # Organism: Methanothermobacter thermautotrophicus (Mth)
gridtest_137_30	MTH133	235	449	0.365040650407	7.08e-51	239.0	38.0		COG1122 # Func_class: P Inorganic ion transport and metabolism # Function: ABC-type cobalt transport system, ATPase component # Organism: Methanothermobacter thermautotrophicus (Mth)
gridtest_137_23	MTH1524	201	443	0.422709923664	4.19e-50	194.0	48.0		COG0118 # Func_class: E Amino acid transport and metabolism # Function: Glutamine amidotransferase # Organism: Methanothermobacter thermautotrophicus (Mth)
gridtest_137_23	MJ0506	201	436	0.416030534351	3.34e-49	194.0	44.0		COG0118 # Func_class: E Amino acid transport and metabolism # Function: Glutamine amidotransferase # Organism: Methanococcus jannaschii (Mja)
gridtest_137_23	Cj1315c	200	399	0.38072519084	3.31e-44	199.0	41.0		COG0118 # Func_class: E Amino acid transport and metabolism # Function: Glutamine amidotransferase # Organism: Campylobacter jejuni (Cje)
gridtest_137_23	aq_732	196	398	0.379770992366	4.78e-44	194.0	44.0		COG0118 # Func_class: E Amino acid transport and metabolism # Function: Glutamine amidotransferase # Organism: Aquifex aeolicus (Aae)
gridtest_137_23	slr0084	198	388	0.370229007634	1.84e-42	198.0	41.0		COG0118 # Func_class: E Amino acid transport and metabolism # Function: Glutamine amidotransferase # Organism: Synechocystis (Syn)
gridtest_137_35	MTH245	114	353	0.472556894244	5.43e-37	114.0	57.0		COG0139 # Func_class: E Amino acid transport and metabolism # Function: Phosphoribosyl-AMP cyclohydrolase # Organism: Methanothermobacter thermautotrophicus (Mth)
gridtest_137_35	PA5066	126	343	0.459170013387	1.87e-35	125.0	50.0		COG0139 # Func_class: E Amino acid transport and metabolism # Function: Phosphoribosyl-AMP cyclohydrolase # Organism: Pseudomonas aeruginosa (Pae)
gridtest_137_35	RSc2945	129	325	0.435073627845	1.02e-32	132.0	47.0		COG0139 # Func_class: E Amino acid transport and metabolism # Function: Phosphoribosyl-AMP cyclohydrolase # Organism: Ralstonia solanacearum (Rso)
gridtest_137_35	CAC0942	104	321	0.429718875502	4.09e-32	102.0	59.0		COG0139 # Func_class: E Amino acid transport and metabolism # Function: Phosphoribosyl-AMP cyclohydrolase # Organism: Clostridium acetobutylicum (Cac)
gridtest_137_35	NMA0837	127	317	0.424364123159	1.63e-31	126.0	48.0		COG0139 # Func_class: E Amino acid transport and metabolism # Function: Phosphoribosyl-AMP cyclohydrolase # Organism: Neisseria meningitidis Z2491 (NmA)
gridtest_137_31	all1003	114	280	0.374832663989	4.62e-26	114.0	50.0		COG4446 # Func_class: S Function unknown # Function: Uncharacterized protein conserved in bacteria # Organism: Nostoc sp. PCC 7120 (Nos)
gridtest_137_26	MA1395	133	250	0.36443148688	8.96e-22	134.0	40.0		COG0864 # Func_class: K Transcription # Function: Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain # Organism: Methanosarcina acetivorans str.C2A (Mac)
