ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
G1_4_0	221	2	223	G1_4	3002	+		SAR324 cluster bacterium SCGC AAA001-C10 (913329)	hypothetical protein
G1_4_1	317	363	680	G1_4	3002	-		SAR324 cluster bacterium SCGC AAA001-C10 (913329)	hypothetical protein
G1_4_2	1883	885	2768	G1_4	3002	-		SAR324 cluster (131190)	hypothetical protein
G1_4_3	218	2782	3000	G1_4	3002	-	5.99.1.2	Proteobacteria (1224)	DNA topoisomerase I (EC 5.99.1.2)
G1_1_0	770	170	940	G1_1	2125	+		SAR324 cluster bacterium SCGC AAA001-C10 (913329)	flagellar basal body rod protein
G1_1_1	788	1003	1791	G1_1	2125	+		Bacteria (2)	Flagellar basal-body rod protein FlgG
G1_1_2	200	1923	2123	G1_1	2125	+		SAR324 cluster bacterium SCGC AAA001-C10 (913329)	hypothetical protein
G1_0_0	113	1277	1390	G1_0	1392	-		root (1)	hypothetical protein
G1_0_tRNA	74	243	316	G1_0	1392	+		root (1)	tRNA-Met
G1_3_0	1673	2	1675	G1_3	4800	-	5.99.1.2	Bacteria (2)	DNA topoisomerase I (EC 5.99.1.2)
G1_3_1	578	1927	2505	G1_3	4800	-	3.4.21.92	Bacteria (2)	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
G1_3_2	1709	2799	4508	G1_3	4800	-		SAR324 cluster bacterium SCGC AAA001-C10 (913329)	DNA repair protein RecN
G1_2_0	2246	3	2249	G1_2	4100	-	2.7.7.42	SAR324 cluster bacterium SCGC AAA001-C10 (913329)	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)
G1_2_1	119	2462	2581	G1_2	4100	+		root (1)	hypothetical protein
G1_2_2	1409	2523	3932	G1_2	4100	-	6.3.1.2	Bacteria (2)	Glutamine synthetase 1 OS Rhizobium leguminosarum bv. viciae GN glnA PE 3 SV # UNIPROT P09826 GLUTAMINESYN-RXN 6.3.1.2
