orf_id	ref dbname	EC	product	value
L2_75_0				
	seed-2014-01-30		FIG00496680: 	1.0

L2_75_1				
	refseq-nr-2014-01-18		glutamine methyltransferase	2.0
	seed-2014-01-30		Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 RF2	10.0

L2_75_2				
	refseq-nr-2014-01-18		HrcA family transcriptional regulator	4.0
	seed-2014-01-30		Heat-inducible transcription repressor HrcA	4.0

L2_75_3				
	refseq-nr-2014-01-18		molecular chaperone GrpE	3.0
	seed-2014-01-30		Heat shock protein GrpE	3.0

L2_75_4				
	refseq-nr-2014-01-18		molecular chaperone DnaJ	3.0
	seed-2014-01-30		Chaperone protein DnaJ	2.0

L2_75_5				
	refseq-nr-2014-01-18		protochlorophyllide reductase	2.0
	seed-2014-01-30		FIG00495524: 	1.0

L2_75_6	COG_2013-12-27		COG0057 # G Carbohydrate transport metabolism Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase Organism: Deinococcus radiodurans (Dra)	14.0
	refseq-nr-2014-01-18		NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	3.0
	seed-2014-01-30	1.2.1.12	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	15.0
	metacyc-v4-2011-07-03	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 2 OS Staphylococcus aureus (strain MRSA252) GN gapA2 PE 3 SV 1 # UNIPROT Q6GG19 GAPOXNPHOSPHN-RXN SAUR282458:SAR1766-MONOMER 1.2.1.12	30.0

L2_75_7				
	refseq-nr-2014-01-18		UDP-N-acetylmuramate--alanine ligase	2.0
	seed-2014-01-30		UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	4.0

L2_75_8	COG_2013-12-27		COG0399 # M Cell wall/membrane/envelope biogenesis Function: Predicted pyridoxal phosphate-dependent enzyme apparently involved regulation cell wall Organism: Pseudomonas aeruginosa (Pae)	20.0
