ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
L1_23_0	461	1	462	L1_23	16584	+		Chlorobium ferrooxidans (84205)	Flagellar motor rotation protein MotB
L1_23_1	230	619	849	L1_23	16584	-		root (1)	hypothetical protein
L1_23_2	395	941	1336	L1_23	16584	+		Chlorobium/Pelodictyon group (274493)	FIG00496742:
L1_23_3	1055	1426	2481	L1_23	16584	-	2.3.1.191	Chlorobaculum tepidum (1097)	UDP-3-O- glucosamine N-acyltransferase (EC 2.3.1.191)
L1_23_4	983	2650	3633	L1_23	16584	+	2.7.6.1	Firmicutes (1239)	Ribose-phosphate pyrophosphokinase 2, chloroplastic OS Oryza sativa subsp. japonica GN Os06g0617800 PE 2 SV # UNIPROT Q69XQ6 PRPPSYN-RXN 2.7.6.1
L1_23_5	599	3665	4264	L1_23	16584	+		Chlorobium ferrooxidans (84205)	LSU ribosomal protein L25p
L1_23_6	131	4393	4524	L1_23	16584	+		root (1)	hypothetical protein
L1_23_7	1367	4601	5968	L1_23	16584	+		Chlorobium ferrooxidans (84205)	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)
L1_23_8	569	5968	6537	L1_23	16584	+	3.6.1.13	Bacteroidetes (976)	ADP-ribose pyrophosphatase (EC 3.6.1.13)
L1_23_9	275	6563	6838	L1_23	16584	+		Chlorobium/Pelodictyon group (274493)	FIG00497184:
L1_23_10	368	6848	7216	L1_23	16584	-		Chlorobium ferrooxidans (84205)	hypothetical protein
L1_23_11	2234	7411	9645	L1_23	16584	-		Chlorobium ferrooxidans (84205)	ComEC/Rec2-related protein
L1_23_12	869	9711	10580	L1_23	16584	+	1.5.1.20	Bacteria (2)	5,10-methylenetetrahydrofolate reductase OS Aquifex aeolicus GN metF PE 3 SV 1 # UNIPROT O67422 1.5.1.20-RXN 1.5.1.20
L1_23_13	1253	10612	11865	L1_23	16584	-	4.1.1.20	Chlorobium ferrooxidans (84205)	Diaminopimelate decarboxylase OS Aquifex aeolicus GN lysA PE 1 SV # UNIPROT O67262 DIAMINOPIMDECARB-RXN 4.1.1.20
L1_23_14	182	12057	12239	L1_23	16584	+		Bacteria (2)	LSU ribosomal protein L33p @ L33p, zinc-independent
L1_23_15	800	12545	13345	L1_23	16584	+		Chlorobium/Pelodictyon group (274493)	FIG137478: Hypothetical protein
L1_23_16	188	13875	14063	L1_23	16584	-		Chlorobium ferrooxidans (84205)	FIG00495802:
L1_23_17	1157	14213	15370	L1_23	16584	-	2.6.1.1	Bacteria (2)	Aspartate aminotransferase (EC 2.6.1.1) / Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase
L1_23_18	221	15409	15630	L1_23	16584	-		Chlorobium/Pelodictyon group (274493)	hypothetical protein
L1_23_19	452	15837	16289	L1_23	16584	-		Chlorobium ferrooxidans (84205)	18K peptidoglycan-associated outer membrane lipoprotein Peptidoglycan-associated lipoprotein precursor Outer protein P6 OmpA/MotB precursor
L1_23_tRNA	82	12308	12389	L1_23	16584	+		root (1)	tRNA-Leu
L1_22_0	1226	244	1470	L1_22	1642	+		Bacteria (2)	ATPase
L1_21_0	413	2	415	L1_21	544	+		root (1)	hypothetical protein
L1_20_0	491	35	526	L1_20	20387	-		Chlorobium phaeobacteroides (1096)	antirestriction protein
L1_20_1	785	1275	2060	L1_20	20387	-		Geobacter (28231)	hypothetical protein
L1_20_2	752	2075	2827	L1_20	20387	-		Proteobacteria (1224)	VrlQ
L1_20_3	1979	2829	4808	L1_20	20387	-		Proteobacteria (1224)	conserved  VrlP
L1_20_4	2867	4805	7672	L1_20	20387	-		Proteobacteria (1224)	helicase (Snf2/Rad54 family)
L1_20_5	1685	7874	9559	L1_20	20387	-		Piscirickettsiaceae (135616)	Possible abortive infection phage resistance protein
L1_20_6	2843	9601	12444	L1_20	20387	-		Bacteria (2)	FIG01164982:
L1_20_7	1538	12441	13979	L1_20	20387	-		Alcanivorax (59753)	putative transcriptional regulator
L1_20_8	3737	13983	17720	L1_20	20387	-		Bacteria (2)	Exonuclease SbcC
L1_20_9	506	17717	18223	L1_20	20387	-		Proteobacteria (1224)	VrlJ
L1_20_10	215	18234	18449	L1_20	20387	-		Proteobacteria (1224)	putative phage protein
L1_20_11	230	18743	18973	L1_20	20387	-		Chlorobium phaeobacteroides (1096)	hypothetical protein
L1_20_12	1097	18988	20085	L1_20	20387	-		Prosthecochloris aestuarii (1102)	Conjugative transfer protein TrbI
L1_20_13	134	20253	20387	L1_20	20387	-		root (1)	hypothetical protein
