ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
U1_128_0	89	1	90	U1_128	189	-		root (1)	hypothetical protein
U1_129_0	227	2	229	U1_129	230	+		Chlorobium phaeobacteroides (1096)	Mobile element protein
U1_126_0	59	2	61	U1_126	351	-		root (1)	hypothetical protein
U1_126_1	200	143	343	U1_126	351	-		root (1)	hypothetical protein
U1_127_0	617	3	620	U1_127	621	+	1.3.1.26	Chlorobium ferrooxidans (84205)	Dihydrodipicolinate reductase (EC 1.3.1.26)
U1_124_0	833	192	1025	U1_124	16224	+		root (1)	hypothetical protein
U1_124_1	149	1099	1248	U1_124	16224	+		root (1)	hypothetical protein
U1_124_2	716	1454	2170	U1_124	16224	-		Bacteria (2)	FIG00784310:
U1_124_3	2396	2692	5088	U1_124	16224	+		Chlorobium ferrooxidans (84205)	3'-to-5' exoribonuclease RNase R
U1_124_4	1352	5329	6681	U1_124	16224	-	4.1.99.3	Bacteria (2)	Deoxyribodipyrimidine photolyase, type II (EC 4.1.99.3)
U1_124_5	716	6678	7394	U1_124	16224	-	6.3.5.2	Pelodictyon phaeoclathratiforme (34090)	Glutamine amidotransferase class-I (EC 6.3.5.2)
U1_124_6	884	7642	8526	U1_124	16224	+		Chlorobium ferrooxidans (84205)	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
U1_124_7	110	8819	8929	U1_124	16224	+		root (1)	hypothetical protein
U1_124_8	875	9004	9879	U1_124	16224	+		Chlorobium ferrooxidans (84205)	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
U1_124_9	1655	9951	11606	U1_124	16224	+		Chlorobium ferrooxidans (84205)	Outer membrane autotransporter barrel
U1_124_10	896	11653	12549	U1_124	16224	+		Chlorobiaceae (191412)	Hydrolase, alpha/beta fold family
U1_124_11	305	12727	13032	U1_124	16224	+		Chlorobium ferrooxidans (84205)	hypothetical protein
U1_124_12	815	13061	13876	U1_124	16224	+		Marinilabilia salmonicolor (989)	Zn-dependent protease chaperone function PA4632
U1_124_13	875	13890	14765	U1_124	16224	+		Chlorobium ferrooxidans (84205)	Probable protease htpX homolog (EC 3.4.24.-)
U1_124_14	158	14936	15094	U1_124	16224	+		root (1)	hypothetical protein
U1_124_15	182	15367	15549	U1_124	16224	-		Chlorobium ferrooxidans (84205)	hypothetical protein
U1_125_0	224	2	226	U1_125	228	+		Chlorobium ferrooxidans (84205)	Polymorphic membrane protein, Chlamydia:Haemagluttinin:Filamentous haemagglutinin-like
U1_122_0	482	2	484	U1_122	1375	-		Chroococcales (1118)	hypothetical protein
U1_122_1	215	722	937	U1_122	1375	+		Chlorobium ferrooxidans (84205)	hypothetical protein
U1_122_2	206	989	1195	U1_122	1375	+		Chlorobium/Pelodictyon group (274493)	FIG00497623:
U1_123_0	812	3	815	U1_123	815	-		Bacillales (1385)	Mobile element protein
U1_120_0	86	3	89	U1_120	2309	-		root (1)	hypothetical protein
U1_120_1	1343	209	1552	U1_120	2309	+		Chlorobium ferrooxidans (84205)	Pentapeptide repeat precursor
U1_120_2	230	1633	1863	U1_120	2309	+		Chlorobiaceae (191412)	FIG00496842:
U1_120_3	293	1907	2200	U1_120	2309	-		Chlorobiaceae (191412)	PMID: 12093901
U1_121_0	293	1	294	U1_121	11225	+		root (1)	hypothetical protein
U1_121_1	311	291	602	U1_121	11225	+		Comamonadaceae (80864)	hypothetical protein
U1_121_2	518	603	1121	U1_121	11225	+		root (1)	hypothetical protein
U1_121_3	1034	1432	2466	U1_121	11225	+		Cyclobacteriaceae (563798)	DNA-binding protein
U1_121_4	494	2482	2976	U1_121	11225	+		root (1)	hypothetical protein
U1_121_5	1304	3418	4722	U1_121	11225	-	4.3.2.2	Bacteria (2)	Adenylosuccinate lyase OS Helicobacter pylori J99 GN purB PE 3 SV 1 # UNIPROT Q9ZKA2 AMPSYN-RXN HPYL85963:JHP1039-MONOMER 4.3.2.2
U1_121_6	1439	4868	6307	U1_121	11225	-	2.7.7.21	Bacteroidetes (976)	tRNA nucleotidyltransferase (EC 2.7.7.21) 2.7.7.25)
U1_121_7	1034	6336	7370	U1_121	11225	-		Chlorobium ferrooxidans (84205)	Oxidoreductase, N-terminal:Oxidoreductase, C-terminal
U1_121_8	1262	7421	8683	U1_121	11225	-		Chlorobium/Pelodictyon group (274493)	drug resistance protein, putative
U1_121_9	890	8762	9652	U1_121	11225	-		Chlorobium/Pelodictyon group (274493)	Vitamin B12 ABC transporter, B12-binding component BtuF
U1_121_10	983	10008	10991	U1_121	11225	+		Chlorobium ferrooxidans (84205)	cAMP-binding proteins - catabolite gene activator regulatory subunit cAMP-dependent protein kinases
U1_68_0	422	2	424	U1_68	1573	+		Chlorobium ferrooxidans (84205)	putative transcriptional regulator
U1_68_1	326	1009	1335	U1_68	1573	+		root (1)	hypothetical protein
U1_69_0	173	262	435	U1_69	27212	-		root (1)	hypothetical protein
U1_69_1	698	428	1126	U1_69	27212	-		root (1)	hypothetical protein
U1_69_2	1430	1279	2709	U1_69	27212	-		Chlorobium/Pelodictyon group (274493)	BchE/P-methylase family protein
U1_69_3	2627	2709	5336	U1_69	27212	-		Bacteroidetes (976)	DNA mismatch repair protein MutS
