#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
L1_141_3	fig|102232.3.peg.3879	1527	4912	0.619029615627	0.0	1516.0	60.0	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Gloeocapsa sp. PCC 73106]
L1_141_3	fig|1036673.3.peg.6878	1529	4882	0.61524889729	0.0	1521.0	61.0	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Paenibacillus mucilaginosus KNP414]
L1_141_3	fig|102129.3.peg.4415	1508	4879	0.614870825457	0.0	1499.0	61.0	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Leptolyngbya sp. PCC 7375]
L1_141_3	fig|1036171.3.peg.1121	1528	4845	0.610586011342	0.0	1524.0	59.0	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Paenibacillus polymyxa ATCC 842]
L1_141_3	fig|102125.3.peg.2808	1508	4836	0.609451795841	0.0	1505.0	60.0	1.4.1.13	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) [Xenococcus sp. PCC 7305]
L1_93_5	fig|1048808.3.peg.3216	1180	4360	0.732280819617	0.0	1174.0	70.0		FIG00607287: hypothetical protein [endosymbiont of Riftia pachyptila (vent Ph05)]
L1_129_53	fig|103690.1.peg.2218	1179	4055	0.656361281968	0.0	1171.0	63.0		Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) [Nostoc sp. PCC 7120]
L1_129_53	fig|103690.10.peg.2434	1179	4055	0.656361281968	0.0	1171.0	63.0		Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) [Nostoc sp. PCC 7120]
L1_129_53	fig|103690.1.peg.3110	1180	3972	0.642926513435	0.0	1199.0	61.0		Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) [Nostoc sp. PCC 7120]
L1_129_53	fig|103690.10.peg.3394	1180	3972	0.642926513435	0.0	1199.0	61.0		Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) [Nostoc sp. PCC 7120]
L1_93_5	fig|1026882.3.peg.2406	1180	3971	0.666946590527	0.0	1179.0	64.0		FIG00607287: hypothetical protein [Methylophaga aminisulfidivorans MP]
L1_129_53	fig|102125.3.peg.5048	1178	3967	0.642117190029	0.0	1182.0	62.0		Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-) [Xenococcus sp. PCC 7305]
L1_42_23	fig|1033732.3.peg.141	1453	3944	0.518129269574	0.0	1389.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Alistipes sp. JC50]
L1_42_23	fig|1033730.3.peg.5362	1453	3934	0.516815554388	0.0	1389.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Aeromicrobium sp. JC14]
L1_42_23	fig|1033731.3.peg.2618	1453	3934	0.516815554388	0.0	1389.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Alistipes sp. JC136]
L1_42_23	fig|1008457.3.peg.734	1466	3913	0.514056752496	0.0	1410.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Myroides injenensis M09-0166]
L1_42_23	fig|1004149.3.peg.2872	1456	3898	0.512086179716	0.0	1400.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Mesoflavibacter zeaxanthinifaciens S86]
L1_74_4	fig|1026882.3.peg.2763	1223	3873	0.618393741019	0.0	1223.0	60.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Methylophaga aminisulfidivorans MP]
L1_74_4	fig|1042375.3.peg.1671	1219	3865	0.617116397892	0.0	1219.0	60.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Marinobacterium stanieri S30]
L1_74_4	fig|1001585.3.peg.2606	1225	3776	0.602905955612	0.0	1227.0	59.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Pseudomonas mendocina NK-01]
L1_74_4	fig|1049790.3.peg.272	1223	3766	0.601309276704	0.0	1222.0	59.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Leptospira inadai serovar Lyme str. 10]
L1_74_4	fig|1001530.3.peg.1924	1223	3759	0.600191601469	0.0	1219.0	59.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Photobacterium leiognathi subsp. mandapamensis svers.1.1.]
L1_50_72	fig|102997.3.peg.5155	1114	3483	0.608384279476	0.0	1112.0	62.0		FIG007317: hypothetical protein [Burkholderia ubonensis Bu]
L1_42_24	fig|1008457.3.peg.733	1293	3470	0.52440683089	0.0	1265.0	54.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Myroides injenensis M09-0166]
L1_42_24	fig|1034807.4.peg.861	1293	3450	0.521384313133	0.0	1265.0	53.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Flavobacterium branchiophilum FL-15]
L1_42_24	fig|1034807.5.peg.858	1293	3450	0.521384313133	0.0	1265.0	53.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Flavobacterium branchiophilum FL-15]
L1_42_24	fig|1004149.3.peg.2873	1293	3448	0.521082061357	0.0	1264.0	53.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Mesoflavibacter zeaxanthinifaciens S86]
L1_42_24	fig|1041826.3.peg.2166	1242	3418	0.516548284721	0.0	1214.0	55.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Flavobacterium columnare ATCC 49512]
L1_170_12	fig|1036743.4.peg.2106	1039	3395	0.642505677517	0.0	1033.0	62.0		RND efflux system, inner membrane transporter CmeB [Rhodospirillum rubrum F11]
L1_170_12	fig|1004786.3.peg.187	1038	3363	0.636449659349	0.0	1030.0	63.0		RND efflux system, inner membrane transporter CmeB [Alteromonas macleodii AltDE1]
L1_170_12	fig|1003237.3.peg.1892	1043	3357	0.635314155942	0.0	1039.0	63.0		RND efflux system, inner membrane transporter CmeB [Azospirillum amazonense Y2]
L1_170_12	fig|1004787.3.peg.140	1038	3356	0.635124905375	0.0	1030.0	63.0		RND efflux system, inner membrane transporter CmeB [Alteromonas macleodii str. 'Balearic Sea AD45']
L1_170_12	fig|1004788.3.peg.139	1038	3356	0.635124905375	0.0	1030.0	63.0		RND efflux system, inner membrane transporter CmeB [Alteromonas macleodii str. 'English Channel 673']
L1_50_72	fig|1045855.3.peg.1709	1118	3305	0.577292576419	0.0	1115.0	58.0		FIG007317: hypothetical protein [Pseudoxanthomonas spadix BD-a59]
L1_50_72	fig|1033802.3.peg.3278	1119	3230	0.564192139738	0.0	1117.0	58.0		FIG007317: hypothetical protein [Salinisphaera shabanensis E1L3A]
L1_143_23	fig|1049790.3.peg.4418	1147	3187	0.532142260811	0.0	1199.0	53.0	1.17.4.1	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) [Leptospira inadai serovar Lyme str. 10]
L1_143_23	fig|1049789.4.peg.1885	1147	3173	0.529804641843	0.0	1200.0	53.0	1.17.4.1	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) [Leptospira broomii str. 5399]
L1_143_23	fig|1003237.3.peg.1161	1090	3136	0.523626648856	0.0	1118.0	56.0	1.17.4.1	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) [Azospirillum amazonense Y2]
L1_20_8	fig|1000565.3.peg.1464	1245	3127	0.492130941139	0.0	1242.0	50.0		Exonuclease SbcC [Methyloversatilis universalis FAM5]
L1_143_23	fig|1042378.3.peg.1801	1147	3116	0.520287193188	0.0	1208.0	52.0	1.17.4.1	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) [Oceanicola sp. S124]
L1_143_23	fig|1002340.3.peg.3499	1078	3115	0.520120220404	0.0	1096.0	55.0	1.17.4.1	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) [Phaeobacter gallaeciensis ANG1]
L1_143_0	fig|1036172.3.peg.1638	856	3101	0.70799086758	0.0	855.0	69.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99) [Arcobacter butzleri 7h1h]
L1_51_32	fig|1046627.3.peg.2993	1067	3075	0.57156133829	0.0	1061.0	56.0		Acriflavin resistance protein [Bizionia argentinensis JUB59]
L1_93_1	fig|1048808.3.peg.1030	845	3015	0.700185787274	0.0	832.0	68.0		putative cytoplasmic protein [endosymbiont of Riftia pachyptila (vent Ph05)]
L1_93_0	fig|1048808.3.peg.1031	684	2980	0.823887199336	0.0	681.0	82.0		putative ATP-dependent protease [endosymbiont of Riftia pachyptila (vent Ph05)]
L1_20_6	fig|1000565.3.peg.1463	913	2936	0.582886638872	0.0	906.0	61.0		FIG01164982: hypothetical protein [Methyloversatilis universalis FAM5]
L1_143_0	fig|1002804.6.peg.895	851	2912	0.664840182648	0.0	850.0	65.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Helicobacter bizzozeronii CIII-1]
L1_143_0	fig|1002805.5.peg.1745	851	2907	0.663698630137	0.0	850.0	65.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Helicobacter bizzozeronii CCUG 35545]
L1_143_0	fig|102616.3.peg.1169	849	2859	0.652739726027	0.0	848.0	64.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Helicobacter pylori N6]
L1_143_0	fig|102125.3.peg.2933	851	2856	0.652054794521	0.0	845.0	63.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Xenococcus sp. PCC 7305]
L1_46_4	fig|1008457.3.peg.1530	1060	2814	0.533560864619	0.0	1057.0	52.0		RND efflux system, inner membrane transporter CmeB [Myroides injenensis M09-0166]
L1_46_4	fig|1008457.3.peg.909	1042	2781	0.527303754266	0.0	1042.0	53.0		RND efflux system, inner membrane transporter CmeB [Myroides injenensis M09-0166]
L1_93_1	fig|1026882.3.peg.2402	845	2777	0.644914073386	0.0	833.0	61.0		putative cytoplasmic protein [Methylophaga aminisulfidivorans MP]
L1_88_12	fig|1005395.3.peg.3035	742	2739	0.728070175439	0.0	741.0	70.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Pseudomonas putida CSV86]
L1_93_0	fig|1026882.3.peg.2401	684	2734	0.755875034559	0.0	682.0	73.0		putative ATP-dependent protease [Methylophaga aminisulfidivorans MP]
L1_88_12	fig|102997.3.peg.1849	742	2730	0.725677830941	0.0	741.0	70.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Burkholderia ubonensis Bu]
L1_88_12	fig|1007656.5.peg.400	742	2698	0.717171717172	0.0	740.0	69.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Pseudomonas fluorescens Wayne1]
L1_88_12	fig|1042209.3.peg.747	742	2691	0.715311004785	0.0	740.0	69.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Pseudomonas fluorescens HK44]
L1_88_12	fig|1038922.3.peg.3638	742	2690	0.715045188729	0.0	740.0	69.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Pseudomonas fluorescens Q2-87]
L1_127_106	fig|1008457.3.peg.1799	828	2672	0.620097470411	0.0	838.0	62.0		ATP-dependent Clp protease, ATP-binding subunit ClpC [Myroides injenensis M09-0166]
L1_127_106	fig|1004149.3.peg.2756	828	2662	0.617776746345	0.0	836.0	61.0		ATP-dependent Clp protease, ATP-binding subunit ClpC [Mesoflavibacter zeaxanthinifaciens S86]
L1_170_22	fig|1046627.3.peg.1541	1096	2654	0.469900849858	0.0	1099.0	49.0		type III restriction enzyme, res subunit [Bizionia argentinensis JUB59]
L1_127_106	fig|1041826.3.peg.110	829	2647	0.614295660246	0.0	837.0	60.0		ATP-dependent Clp protease ATP-binding subunit ClpA [Flavobacterium columnare ATCC 49512]
L1_127_106	fig|1046627.3.peg.3037	828	2624	0.608957994894	0.0	841.0	61.0		ATP-dependent Clp protease, ATP-binding subunit ClpC [Bizionia argentinensis JUB59]
L1_127_106	fig|1034807.4.peg.1899	828	2619	0.607797632861	0.0	834.0	60.0		ATP-dependent Clp protease ATP-binding subunit ClpA [Flavobacterium branchiophilum FL-15]
L1_46_4	fig|1004149.3.peg.2647	1044	2614	0.495638983694	0.0	1037.0	49.0		RND efflux system, inner membrane transporter CmeB [Mesoflavibacter zeaxanthinifaciens S86]
L1_83_27	fig|1009420.3.peg.450	906	2609	0.554280858296	0.0	902.0	55.0	2.7.9.1	Pyruvate,phosphate dikinase (EC 2.7.9.1) [Verrucomicrobia bacterium SCGC AAA164-O14]
L1_83_27	fig|1030843.3.peg.899	903	2603	0.553006161037	0.0	903.0	56.0	2.7.9.1	Pyruvate,phosphate dikinase (EC 2.7.9.1) [Porphyromonas gingivalis TDC60]
L1_83_29	fig|1002367.3.peg.1871	939	2598	0.532486165198	0.0	933.0	56.0		Excinuclease ABC subunit A [Prevotella stercorea DSM 18206]
