ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
B2_1_0	464	89	553	B2_1	6266	-		Bacteroidetes/Chlorobi group (68336)	MULTISPECIES:
B2_1_1	1250	546	1796	B2_1	6266	-	2.1.1.113	Bacteroidetes (976)	Modification methylase MjaI (EC 2.1.1.113) (N-4 cytosine-specific methyltransferase MjaI) (M.MjaI)
B2_1_2	773	2014	2787	B2_1	6266	-		Bacteroidetes (976)	Possible restriction endonuclease
B2_1_3	1028	3174	4202	B2_1	6266	-		Chlorobium (1091)	hypothetical protein
B2_1_4	638	4413	5051	B2_1	6266	-		Chlorobium (1091)	hypothetical protein
B2_1_5	332	5006	5338	B2_1	6266	-		root (1)	hypothetical protein
B2_1_6	416	5322	5738	B2_1	6266	-		Bacteria (2)	FIG01158363:
B2_0_0	1208	1	1209	B2_0	4297	+	1.3.99.1	Bacteroidetes (976)	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
B2_0_1	773	1218	1991	B2_0	4297	+	1.3.99.1	Bacteroidetes (976)	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
B2_0_2	290	2202	2492	B2_0	4297	+		root (1)	hypothetical protein
B2_0_3	581	2704	3285	B2_0	4297	+		Chlorobaculum tepidum (1097)	RNA polymerase sigma-70 factor, ECF subfamily
B2_0_4	752	3446	4198	B2_0	4297	+		Chlorobaculum tepidum (1097)	FIG00498554:
