#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
L2_75_27	lin1514	597	1909	0.625901639344	8.22e-239	595.0	60.0		COG0481 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Membrane GTPase LepA # Organism: Listeria innocua (Lin)
L2_75_27	BH1342	598	1908	0.625573770492	1.11e-238	596.0	61.0		COG0481 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Membrane GTPase LepA # Organism: Bacillus halodurans (Bha)
L2_75_27	BS_lepA	598	1898	0.622295081967	2.14e-237	596.0	60.0		COG0481 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Membrane GTPase LepA # Organism: Bacillus subtilis (Bsu)
L2_75_27	SPy1053	597	1891	0.62	1.71e-236	595.0	60.0		COG0481 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Membrane GTPase LepA # Organism: Streptococcus pyogenes M1 GAS (Spy)
L2_75_27	L0159	597	1884	0.617704918033	1.36e-235	595.0	60.0		COG0481 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Membrane GTPase LepA # Organism: Lactococcus lactis (Lla)
L2_75_6	BH3560	324	1005	0.589442815249	1.91e-122	324.0	61.0		COG0057 # Func_class: G Carbohydrate transport and metabolism # Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase # Organism: Bacillus halodurans (Bha)
L2_75_8	BMEI0421	369	998	0.527763088313	1.52e-121	366.0	53.0		COG0399 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis # Organism: Brucella melitensis (Bme)
L2_75_6	BS_gap	324	993	0.582404692082	6.68e-121	324.0	60.0		COG0057 # Func_class: G Carbohydrate transport and metabolism # Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase # Organism: Bacillus subtilis (Bsu)
L2_75_6	aq_1065	325	987	0.578885630499	3.95e-120	332.0	59.0		COG0057 # Func_class: G Carbohydrate transport and metabolism # Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase # Organism: Aquifex aeolicus (Aae)
L2_75_8	mll7579	369	974	0.515071390799	1.86e-118	366.0	52.0		COG0399 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis # Organism: Mesorhizobium loti (Mlo)
L2_75_6	TM0688	324	966	0.566568914956	2e-117	325.0	58.0		COG0057 # Func_class: G Carbohydrate transport and metabolism # Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase # Organism: Thermotoga maritima (Tma)
L2_75_6	DR1343	325	957	0.561290322581	2.88e-116	323.0	59.0		COG0057 # Func_class: G Carbohydrate transport and metabolism # Function: Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase # Organism: Deinococcus radiodurans (Dra)
L2_75_14	SP0932	410	862	0.41086749285	4.87e-104	413.0	46.0		COG0014 # Func_class: E Amino acid transport and metabolism # Function: Gamma-glutamyl phosphate reductase # Organism: Streptococcus pneumoniae TIGR4 (Spn)
L2_75_8	CC3611	369	803	0.424643046007	1.91e-96	379.0	45.0		COG0399 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis # Organism: Caulobacter vibrioides (Ccr)
L2_75_8	PA3155	369	799	0.422527763088	6.27e-96	356.0	44.0		COG0399 # Func_class: M Cell wall/membrane/envelope biogenesis # Function: Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis # Organism: Pseudomonas aeruginosa (Pae)
L2_75_12	PA2987	228	567	0.484615384615	4.58e-66	221.0	51.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Pseudomonas aeruginosa (Pae)
L2_75_12	VC1883	226	564	0.482051282051	1.11e-65	219.0	50.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Vibrio cholerae (Vch)
L2_75_12	STM1218	228	557	0.476068376068	8.87e-65	221.0	50.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Salmonella typhimurium LT2 (Sty)
L2_75_12	lolD	227	557	0.476068376068	8.87e-65	220.0	49.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Escherichia coli K12 (Eco)
L2_75_12	ECs1495	227	552	0.471794871795	3.9e-64	220.0	49.0		COG1136 # Func_class: V Defense mechanisms # Function: ABC-type antimicrobial peptide transport system, ATPase component # Organism: Escherichia coli O157:H7 (Ecs)
L2_75_16	MA1348	105	309	0.560798548094	2.55e-30	104.0	52.0		COG2076 # Func_class: P Inorganic ion transport and metabolism # Function: Membrane transporters of cations and cationic drugs # Organism: Methanosarcina acetivorans str.C2A (Mac)
L2_75_16	all0285	99	301	0.546279491833	3.92e-29	98.0	53.0		COG2076 # Func_class: P Inorganic ion transport and metabolism # Function: Membrane transporters of cations and cationic drugs # Organism: Nostoc sp. PCC 7120 (Nos)
L2_75_16	CAC3666	106	274	0.497277676951	3.4e-25	105.0	50.0		COG2076 # Func_class: P Inorganic ion transport and metabolism # Function: Membrane transporters of cations and cationic drugs # Organism: Clostridium acetobutylicum (Cac)
L2_75_16	BS_yvaE	108	261	0.473684210526	2.47e-23	106.0	46.0		COG2076 # Func_class: P Inorganic ion transport and metabolism # Function: Membrane transporters of cations and cationic drugs # Organism: Bacillus subtilis (Bsu)
L2_75_23	all1719	96	223	0.440711462451	5.33e-18	95.0	47.0		COG2944 # Func_class: K Transcription # Function: Predicted transcriptional regulator # Organism: Nostoc sp. PCC 7120 (Nos)
L2_75_23	RSc0125	98	208	0.411067193676	6.28e-16	97.0	43.0		COG2944 # Func_class: K Transcription # Function: Predicted transcriptional regulator # Organism: Ralstonia solanacearum (Rso)
L2_74_4	AGc3907_2	903	2792	0.445792751078	0.0	906.0	60.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
L2_74_4	SMc03112_2	899	2781	0.444036404279	0.0	903.0	60.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Sinorhizobium meliloti (Sme)
L2_74_4	STM4188_2	905	2762	0.441002714354	0.0	901.0	60.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Salmonella typhimurium LT2 (Sty)
L2_74_4	YPO3722_2	905	2758	0.440364042791	0.0	900.0	60.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Yersinia pestis (Ype)
L2_74_4	PA1843_2	900	2758	0.440364042791	0.0	897.0	60.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Pseudomonas aeruginosa (Pae)
L2_77_22	ECs0872	225	642	0.511553784861	1.01e-75	224.0	53.0		COG1131 # Func_class: V Defense mechanisms # Function: ABC-type multidrug transport system, ATPase component # Organism: Escherichia coli O157:H7 (Ecs)
L2_77_22	ZybhF	225	642	0.511553784861	1.01e-75	224.0	53.0		COG1131 # Func_class: V Defense mechanisms # Function: ABC-type multidrug transport system, ATPase component # Organism: Escherichia coli O157:H7 EDL933 (EcZ)
