#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
L1_182_2	gi|194307762|gb|ACF42462.1|	329	1175	0.678798382438	4.26e-147	328.0	67.0		glycosyl transferase family 9 [Pelodictyon phaeoclathratiforme BU-1] [[ACF42462.1]] (GT9)
L1_182_2	gi|119355631|gb|ABL66502.1|	329	1161	0.670710571924	2.94e-145	328.0	66.0		glycosyl transferase, family 9 [Chlorobium phaeobacteroides DSM 266] [[ABL66502.1]] (GT9)
L1_182_2	gi|189339841|gb|ACD89244.1|	329	1029	0.59445407279	6.38e-128	329.0	60.0		glycosyl transferase family 9 [Chlorobium limicola DSM 245] [[ACD89244.1]] (GT9)
L1_182_2	gi|194310820|gb|ACF45215.1|	329	1016	0.586943963027	3.25e-126	328.0	59.0		glycosyl transferase family 9 [Prosthecochloris aestuarii DSM 271] [[ACF45215.1]] (GT9)
L1_182_2	gi|78165904|gb|ABB23002.1|	333	991	0.572501444252	6.25e-123	334.0	57.0		heptosyltransferase [Chlorobium luteolum DSM 273] [[ABB23002.1]] (GT9)
L1_182_20	gi|194307816|gb|ACF42516.1|	589	2113	0.711447811448	2.73e-270	588.0	70.0		glycoside hydrolase family 3 domain protein [Pelodictyon phaeoclathratiforme BU-1] [[ACF42516.1]] (GH3)
L1_182_20	gi|119355616|gb|ABL66487.1|	554	1866	0.628282828283	7.52e-238	553.0	65.0		glycoside hydrolase, family 3 domain protein [Chlorobium phaeobacteroides DSM 266] [[ABL66487.1]] (GH3)
L1_182_20	gi|189339854|gb|ACD89257.1|	582	1838	0.618855218855	3.58e-234	577.0	62.0		glycoside hydrolase family 3 domain protein [Chlorobium limicola DSM 245] [[ACD89257.1]] (GH3)
L1_182_20	gi|78171813|gb|ABB28909.1|	554	1615	0.543771043771	6.94e-205	551.0	57.0		beta-N-acetylglucosaminidase [Chlorobium chlorochromatii CaD3] [[ABB28909.1]] (GH3)
L1_182_20	gi|194310833|gb|ACF45228.1|	543	1551	0.522222222222	1.77e-196	541.0	55.0		glycoside hydrolase family 3 domain protein [Prosthecochloris aestuarii DSM 271] [[ACF45228.1]] (GH3)
L1_182_83	gi|194307894|gb|ACF42594.1|	386	1514	0.739618954568	1.28e-191	385.0	74.0		glycosyl transferase group 1 [Pelodictyon phaeoclathratiforme BU-1] [[ACF42594.1]] (GT4)
L1_182_83	gi|78172017|gb|ABB29113.1|	372	1330	0.649731314118	1.87e-167	371.0	66.0		glycosyl transferase, group 1 family protein [Chlorobium chlorochromatii CaD3] [[ABB29113.1]] (GT4)
L1_182_83	gi|119355556|gb|ABL66427.1|	382	1294	0.632144601856	1e-162	381.0	63.0		glycosyl transferase, group 1 [Chlorobium phaeobacteroides DSM 266] [[ABL66427.1]] (GT4)
L1_182_83	gi|189341899|gb|ACD91302.1|	367	1269	0.61993160723	1.92e-159	369.0	65.0		glycosyl transferase, group 1 [Chlorobium limicola DSM 245] [[ACD91302.1]] (GT4)
L1_182_83	gi|78165963|gb|ABB23061.1|	372	1253	0.612115290669	2.43e-157	371.0	64.0		hypothetical protein Plut_0171 [Chlorobium luteolum DSM 273] [[ABB23061.1]] (GT4)
L1_182_80	gi|194307891|gb|ACF42591.1|	357	1077	0.5609375	3.17e-134	357.0	60.0		glycosyl transferase group 1 [Pelodictyon phaeoclathratiforme BU-1] [[ACF42591.1]] (GT4)
L1_182_80	gi|119355559|gb|ABL66430.1|	377	1001	0.521354166667	3.04e-124	378.0	54.0		glycosyl transferase, group 1 [Chlorobium phaeobacteroides DSM 266] [[ABL66430.1]] (GT4)
L1_182_81	gi|194307892|gb|ACF42592.1|	273	975	0.663265306122	7.89e-121	272.0	69.0		glycosyl transferase family 2 [Pelodictyon phaeoclathratiforme BU-1] [[ACF42592.1]] (GT2)
L1_182_80	gi|193085309|gb|ACF10585.1|	376	932	0.485416666667	3.5e-115	373.0	52.0		glycosyl transferase group 1 [Chlorobaculum parvum NCIB 8327] [[ACF10585.1]] (GT4)
L1_182_80	gi|78165960|gb|ABB23058.1|	344	922	0.480208333333	7.21e-114	339.0	55.0		glycosyl transferase [Chlorobium luteolum DSM 273] [[ABB23058.1]] (GT4)
L1_182_80	gi|189341902|gb|ACD91305.1|	374	906	0.471875	9.11e-112	377.0	50.0		glycosyl transferase group 1 [Chlorobium limicola DSM 245] [[ACD91305.1]] (GT4)
L1_182_81	gi|78172021|gb|ABB29117.1|	268	838	0.570068027211	7.77e-103	267.0	62.0		glycosyl transferase [Chlorobium chlorochromatii CaD3] [[ABB29117.1]] (GT2)
L1_182_81	gi|78165961|gb|ABB23059.1|	274	828	0.563265306122	1.6e-101	273.0	60.0		glycosyl transferase [Chlorobium luteolum DSM 273] [[ABB23059.1]] (GT2)
