#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
gridtest_137_22	sp|B3QRR1|HIS4_CHLT3	257	923	0.625338753388	3.42e-113	256.0	69.0	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN=hisA PE=3 SV=1 # UNIPROT # B3QRR1 # PRIBFAICARPISOM-RXN # # 5.3.1.16
gridtest_137_22	sp|Q2S296|HIS4_SALRD	253	586	0.39701897019	1.11e-69	253.0	47.0	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Salinibacter ruber (strain DSM 13855 / M31) GN=hisA PE=3 SV=1 # UNIPROT # Q2S296 # PRIBFAICARPISOM-RXN # SRUB309807:SRU_1564-MONOMER # 5.3.1.16
gridtest_137_22	sp|A5CZ74|HIS4_PELTS	228	554	0.375338753388	1.5e-65	226.0	48.0	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI) GN=hisA PE=3 SV=1 # UNIPROT # A5CZ74 # PRIBFAICARPISOM-RXN # PTHE370438:PTH_2533-MONOMER # 5.3.1.16
gridtest_137_22	sp|Q3AD49|HIS4_CARHZ	236	538	0.364498644986	1.74e-63	234.0	45.0	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Carboxydothermus hydrogenoformans (strain Z-2901 / DSM 6008) GN=hisA PE=3 SV=1 # UNIPROT # Q3AD49 # PRIBFAICARPISOM-RXN # CHYD246194:CHY_1089-MONOMER # 5.3.1.16
gridtest_137_35	sp|B3QU88|HIS3_CHLT3	127	456	0.610441767068	6.73e-53	127.0	63.0	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS=Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN=hisI PE=3 SV=1 # UNIPROT # B3QU88 # HISTCYCLOHYD-RXN # # 3.5.4.19
gridtest_137_35	sp|O26347|HIS3_METTH	114	353	0.472556894244	2.42e-37	114.0	57.0	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS=Methanobacterium thermoautotrophicum (strain Delta H) GN=hisI PE=1 SV=1 # UNIPROT # O26347 # HISTCYCLOHYD-RXN # MTHE187420:MTH245-MONOMER # 3.5.4.19
gridtest_137_35	sp|Q2RTY3|HIS3_RHORT	121	352	0.471218206158	3.41e-37	120.0	54.0	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS=Rhodospirillum rubrum (strain ATCC 11170 / NCIB 8255) GN=hisI PE=3 SV=1 # UNIPROT # Q2RTY3 # HISTCYCLOHYD-RXN # RRUB269796:RRU_A1612-MONOMER # 3.5.4.19
gridtest_137_35	sp|Q2S3T1|HIS3_SALRD	123	336	0.449799196787	7.92e-35	121.0	53.0	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS=Salinibacter ruber (strain DSM 13855 / M31) GN=hisI PE=3 SV=1 # UNIPROT # Q2S3T1 # HISTCYCLOHYD-RXN # SRUB309807:SRU_1018-MONOMER # 3.5.4.19
gridtest_137_35	sp|Q1QWC3|HIS3_CHRSD	129	333	0.44578313253	2.18e-34	127.0	48.0	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase OS=Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768) GN=hisI PE=3 SV=1 # UNIPROT # Q1QWC3 # HISTCYCLOHYD-RXN # CSAL290398:CSAL_1883-MONOMER # 3.5.4.19
gridtest_137_50	sp|A4SGA5|SYE_PROVI	503	2158	0.818975332068	1.22e-272	502.0	79.0	6.1.1.17	Glutamyl-tRNA synthetase OS=Prosthecochloris vibrioformis (strain DSM 265) GN=gltX PE=3 SV=1 # UNIPROT # A4SGA5 # GLURS-RXN # # 6.1.1.17
gridtest_83_18	sp|Q8KBV8|PUR2_CHLTE	430	1503	0.653762505437	4.49e-188	425.0	70.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Chlorobium tepidum GN=purD PE=3 SV=1 # UNIPROT # Q8KBV8 # GLYRIBONUCSYN-RXN # CTEP194439:CT_1674-MONOMER # 6.3.4.13
gridtest_83_16	sp|Q1IWM0|CARB_DEIGD	489	1469	0.590196866211	1.1e-183	471.0	61.0	6.3.5.5	Carbamoyl-phosphate synthase large chain OS=Deinococcus geothermalis (strain DSM 11300) GN=carB PE=3 SV=1 # UNIPROT # Q1IWM0 # CARBPSYN-RXN # DGEO319795:DGEO_2070-MONOMER # 6.3.5.5
gridtest_83_16	sp|B8DTW3|CARB_BIFA0	479	1413	0.567697870631	1.87e-176	468.0	58.0	6.3.5.5	Carbamoyl-phosphate synthase large chain OS=Bifidobacterium animalis subsp. lactis (strain AD011) GN=carB PE=3 SV=1 # UNIPROT # B8DTW3 # CARBPSYN-RXN # # 6.3.5.5
gridtest_83_16	sp|Q98I87|CARB_RHILO	488	1340	0.53836882282	4.97e-167	539.0	55.0	6.3.5.5	Carbamoyl-phosphate synthase large chain OS=Rhizobium loti GN=carB PE=3 SV=1 # UNIPROT # Q98I87 # CARBPSYN-RXN # # 6.3.5.5
gridtest_83_16	sp|A8F453|CARB_THELT	488	1334	0.535958216151	2.96e-166	468.0	55.0	6.3.5.5	Carbamoyl-phosphate synthase large chain OS=Thermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / TMO) GN=carB PE=3 SV=1 # UNIPROT # A8F453 # CARBPSYN-RXN # TLET416591:TLET_0370-MONOMER # 6.3.5.5
gridtest_83_16	sp|B9KXM5|CARB_THERP	480	1289	0.517878666131	1.91e-160	466.0	54.0	6.3.5.5	Carbamoyl-phosphate synthase large chain OS=Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2) GN=carB PE=3 SV=1 # UNIPROT # B9KXM5 # CARBPSYN-RXN # # 6.3.5.5
gridtest_137_50	sp|Q2S1L8|SYE_SALRD	494	1136	0.431119544592	1.08e-140	481.0	44.0	6.1.1.17	Glutamyl-tRNA synthetase OS=Salinibacter ruber (strain DSM 13855 / M31) GN=gltX PE=3 SV=2 # UNIPROT # Q2S1L8 # GLURS-RXN # SRUB309807:SRU_1796-MONOMER # 6.1.1.17
gridtest_137_50	sp|A8MLB5|SYE_ALKOO	494	1098	0.41669829222	8.72e-136	489.0	45.0	6.1.1.17	Glutamyl-tRNA synthetase OS=Alkaliphilus oremlandii (strain OhILAs) GN=gltX PE=3 SV=1 # UNIPROT # A8MLB5 # GLURS-RXN # AORE350688:CLOS_0467-MONOMER # 6.1.1.17
gridtest_137_50	sp|Q11PQ4|SYE_CYTH3	500	1017	0.385958254269	2.5e-125	508.0	42.0	6.1.1.17	Glutamyl-tRNA synthetase OS=Cytophaga hutchinsonii (strain ATCC 33406 / NCIMB 9469) GN=gltX PE=3 SV=1 # UNIPROT # Q11PQ4 # GLURS-RXN # CHUT269798:CHU_3373-MONOMER # 6.1.1.17
gridtest_137_50	sp|B2RI67|SYE_PORG3	498	985	0.373814041746	3.39e-121	503.0	43.0	6.1.1.17	Glutamyl-tRNA synthetase OS=Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / JCM 12257) GN=gltX PE=3 SV=1 # UNIPROT # B2RI67 # GLURS-RXN # # 6.1.1.17
gridtest_83_18	sp|Q9PC09|PUR2_XYLFA	430	905	0.393649412788	7.22e-111	423.0	46.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Xylella fastidiosa GN=purD PE=3 SV=1 # UNIPROT # Q9PC09 # GLYRIBONUCSYN-RXN # XFAS160492:XF1976-MONOMER # 6.3.4.13
gridtest_83_18	sp|Q59A32|PUR2_BOVIN	431	900	0.391474554154	3.19e-110	425.0	45.0	6.3.3.1	Trifunctional purine biosynthetic protein adenosine-3 OS=Bos taurus GN=GART PE=2 SV=1 # UNIPROT # Q59A32 # GLYRIBONUCSYN-RXN # CATTLE:281183-MONOMER # 6.3.3.1 2.1.2.2 6.3.4.13
gridtest_83_18	sp|O66949|PUR2_AQUAE	429	894	0.388864723793	1.9e-109	418.0	43.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Aquifex aeolicus GN=purD PE=1 SV=1 # UNIPROT # O66949 # GLYRIBONUCSYN-RXN # AAEO224324:AQ_742-MONOMER # 6.3.4.13
gridtest_83_18	sp|Q8YRD8|PUR2_NOSS1	426	891	0.387559808612	4.63e-109	420.0	46.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Nostoc sp. (strain PCC 7120 / UTEX 2576) GN=purD PE=3 SV=1 # UNIPROT # Q8YRD8 # GLYRIBONUCSYN-RXN # NSP103690:ALR3510-MONOMER # 6.3.4.13
gridtest_83_15	sp|Q3B2C7|TRPC_PELLD	256	842	0.66403785489	9.82e-103	255.0	67.0	4.1.1.48	Indole-3-glycerol phosphate synthase OS=Pelodictyon luteolum (strain DSM 273) GN=trpC PE=3 SV=1 # UNIPROT # Q3B2C7 # IGPSYN-RXN # PLUT319225:PLUT_1650-MONOMER # 4.1.1.48
gridtest_83_15	sp|B3QZD6|TRPC_CHLT3	257	691	0.544952681388	3.07e-83	258.0	56.0	4.1.1.48	Indole-3-glycerol phosphate synthase OS=Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN=trpC PE=3 SV=1 # UNIPROT # B3QZD6 # IGPSYN-RXN # # 4.1.1.48
