#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
L2_75_14	sp|A4SFP8|PROA_PROVI	418	1562	0.744518589133	1.08e-195	417.0	74.0	1.2.1.41	Gamma-glutamyl phosphate reductase OS=Prosthecochloris vibrioformis (strain DSM 265) GN=proA PE=3 SV=1 # UNIPROT # A4SFP8 # GLUTSEMIALDEHYDROG-RXN # # 1.2.1.41
L2_75_15	sp|Q8KCG4|PROB_CHLTE	361	1305	0.713114754098	1.64e-162	360.0	68.0	2.7.2.11	Glutamate 5-kinase OS=Chlorobium tepidum GN=proB PE=3 SV=1 # UNIPROT # Q8KCG4 # GLUTKIN-RXN # CTEP194439:CT_1457-MONOMER # 2.7.2.11
L2_75_14	sp|A6KXU8|PROA_BACV8	406	1088	0.518589132507	1.71e-134	406.0	53.0	1.2.1.41	Gamma-glutamyl phosphate reductase OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / NCTC 11154) GN=proA PE=3 SV=1 # UNIPROT # A6KXU8 # GLUTSEMIALDEHYDROG-RXN # # 1.2.1.41
L2_75_6	sp|P09316|G3P_ZYMMO	323	876	0.513782991202	4.01e-107	326.0	54.0	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase OS=Zymomonas mobilis GN=gap PE=3 SV=1 # UNIPROT # P09316 # GAPOXNPHOSPHN-RXN # ZMOB264203:ZMO0177-MONOMER # 1.2.1.12
L2_75_6	sp|P47543|G3P_MYCGE	317	825	0.483870967742	1.54e-100	316.0	51.0	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase OS=Mycoplasma genitalium GN=gapA PE=3 SV=1 # UNIPROT # P47543 # GAPOXNPHOSPHN-RXN # MGEN243273:MG_301-MONOMER # 1.2.1.12
L2_75_6	sp|P12859|G3PB_PEA	327	814	0.477419354839	4.05e-99	332.0	52.0	1.2.1.13	Glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic OS=Pisum sativum GN=GAPB PE=2 SV=2 # UNIPROT # P12859 # 1.2.1.13-RXN # # 1.2.1.13
L2_75_15	sp|Q8A1E7|PROB_BACTN	353	808	0.441530054645	2.41e-98	355.0	46.0	2.7.2.11	Glutamate 5-kinase OS=Bacteroides thetaiotaomicron GN=proB PE=3 SV=1 # UNIPROT # Q8A1E7 # GLUTKIN-RXN # BTHE226186:BT_3719-MONOMER # 2.7.2.11
L2_75_6	sp|Q64467|G3PT_MOUSE	326	769	0.451026392962	2.61e-93	326.0	48.0	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Mus musculus GN=Gapdhs PE=1 SV=1 # UNIPROT # Q64467 # GAPOXNPHOSPHN-RXN # # 1.2.1.12
L2_75_6	sp|Q6GG19|G3P2_STAAR	322	767	0.449853372434	4.73e-93	320.0	49.0	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Staphylococcus aureus (strain MRSA252) GN=gapA2 PE=3 SV=1 # UNIPROT # Q6GG19 # GAPOXNPHOSPHN-RXN # SAUR282458:SAR1766-MONOMER # 1.2.1.12
L2_74_4	sp|Q9I2Q2|METH_PSEAE	1219	3784	0.604183298739	0.0	1215.0	60.0	2.1.1.13	Methionine synthase OS=Pseudomonas aeruginosa GN=metH PE=3 SV=1 # UNIPROT # Q9I2Q2 # HOMOCYSMETB12-RXN # PAER208964:PA1843-MONOMER # 2.1.1.13
L2_74_4	sp|Q4JIJ3|METH_BOVIN	1229	3454	0.551492894779	0.0	1248.0	54.0	2.1.1.13	Methionine synthase OS=Bos taurus GN=MTR PE=2 SV=1 # UNIPROT # Q4JIJ3 # HOMOCYSMETB12-RXN # CATTLE:280869-MONOMER # 2.1.1.13
L2_78_0	sp|B3QWI0|HEM1_CHLT3	424	1228	0.577610536218	1.43e-152	420.0	56.0	1.2.1.70	Glutamyl-tRNA reductase OS=Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN=hemA PE=3 SV=1 # UNIPROT # B3QWI0 # GLUTRNAREDUCT-RXN # # 1.2.1.70
L2_78_1	sp|B3QWI1|HEM3_CHLT3	311	1013	0.643583227446	8.22e-125	310.0	61.0	2.5.1.61	Porphobilinogen deaminase OS=Chloroherpeton thalassium (strain ATCC 35110 / GB-78) GN=hemC PE=3 SV=1 # UNIPROT # B3QWI1 # OHMETHYLBILANESYN-RXN # # 2.5.1.61
L2_78_1	sp|C6DYY8|HEM3_GEOSM	308	736	0.467598475222	4.76e-89	302.0	47.0	2.5.1.61	Porphobilinogen deaminase OS=Geobacter sp. (strain M21) GN=hemC PE=3 SV=1 # UNIPROT # C6DYY8 # OHMETHYLBILANESYN-RXN # # 2.5.1.61
L2_78_1	sp|B8G2M2|HEM3_DESHD	305	690	0.438373570521	4.14e-83	298.0	50.0	2.5.1.61	Porphobilinogen deaminase OS=Desulfitobacterium hafniense (strain DCB-2 / DSM 10664) GN=hemC PE=3 SV=1 # UNIPROT # B8G2M2 # OHMETHYLBILANESYN-RXN # # 2.5.1.61
