#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
A2_2_0	sp|P43753|PFLB_HAEIN	740	2540	0.655822359928	4.23999999989e-315	759.0	64.0	2.3.1.54	Formate acetyltransferase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=pflB PE=3 SV=2 # UNIPROT # P43753 # PYRUVFORMLY-RXN # HINF71421:HI_0180-MONOMER # 2.3.1.54
A2_1_0	sp|P41561|IDH2_COLMA	737	2392	0.636170212766	1.61e-296	738.0	62.0	1.1.1.42	Isocitrate dehydrogenase [NADP] 2 OS=Colwellia maris GN=icd2 PE=1 SV=3 # UNIPROT # P41561 # ISOCITDEH-RXN # # 1.1.1.42
A2_1_0	tr|Q8L0X8|Q8L0X8_CHLLI	736	2389	0.635372340426	3.83e-296	737.0	63.0		Isocitrate dehydrogenase [NADP] OS=Chlorobium limicola GN=Cl-idh PE=3 SV=1 # UNIPROT # Q8L0X8 # RXN-7712 # MetaCyc:MONOMER-11847 # NIL
A2_11_0	sp|A5VIL5|G6PI_LACRD	438	1555	0.692341941229	1.88e-191	436.0	67.0	5.3.1.9	Glucose-6-phosphate isomerase OS=Lactobacillus reuteri (strain DSM 20016) GN=pgi PE=3 SV=1 # UNIPROT # A5VIL5 # PGLUCISOM-RXN # LREU557436:LREU_0420-MONOMER # 5.3.1.9
A2_11_0	sp|Q67QQ0|G6PI_SYMTH	419	1245	0.554318788958	1.55e-152	417.0	57.0	5.3.1.9	Glucose-6-phosphate isomerase OS=Symbiobacterium thermophilum GN=pgi PE=3 SV=1 # UNIPROT # Q67QQ0 # PGLUCISOM-RXN # STHE292459:STH1008-MONOMER # 5.3.1.9
A2_7_0	sp|P51034|CISY_BARQU	362	1234	0.653255690842	3.72e-151	361.0	62.0	2.3.3.1	Citrate synthase OS=Bartonella quintana GN=gltA PE=3 SV=3 # UNIPROT # P51034 # CITSYN-RXN # BQUI283165:BQ06850-MONOMER # 2.3.3.1
A2_11_0	sp|A6L8C4|G6PI_PARD8	438	1103	0.491095280499	1.04e-134	435.0	52.0	5.3.1.9	Glucose-6-phosphate isomerase OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / NCTC 11152) GN=pgi PE=3 SV=1 # UNIPROT # A6L8C4 # PGLUCISOM-RXN # PDIS435591:BDI_0148-MONOMER # 5.3.1.9
A2_11_0	sp|B0S9I4|G6PI_LEPBA	424	1090	0.485307212823	4.44e-133	422.0	51.0	5.3.1.9	Glucose-6-phosphate isomerase OS=Leptospira biflexa serovar Patoc (strain Patoc 1 / Ames) GN=pgi PE=3 SV=1 # UNIPROT # B0S9I4 # PGLUCISOM-RXN # LBIF355278:LBF_0074-MONOMER # 5.3.1.9
A2_11_0	sp|Q2SS24|G6PI_MYCCT	400	1020	0.454140694568	2.72e-124	393.0	50.0	5.3.1.9	Glucose-6-phosphate isomerase OS=Mycoplasma capricolum subsp. capricolum (strain California kid / ATCC 27343 / NCTC 10154) GN=pgi PE=3 SV=1 # UNIPROT # Q2SS24 # PGLUCISOM-RXN # MCAP340047:MCAP_0465-MONOMER # 5.3.1.9
A2_7_0	sp|P42457|CISY_CORGL	358	977	0.517204870302	6.79e-119	357.0	53.0	2.3.3.1	Citrate synthase OS=Corynebacterium glutamicum GN=gltA PE=3 SV=1 # UNIPROT # P42457 # CITSYN-RXN # CGLU196627:CG0949-MONOMER # 2.3.3.1
A2_7_0	sp|Q86AV6|CISYC_DICDI	358	909	0.481206987824	2.33e-110	360.0	49.0	2.3.3.1	Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1 # UNIPROT # Q86AV6 # CITSYN-RXN # # 2.3.3.1
A2_7_0	sp|P56062|CISY_HELPY	360	842	0.445738485971	6.01e-102	368.0	47.0	2.3.3.1	Citrate synthase OS=Helicobacter pylori GN=gltA PE=3 SV=1 # UNIPROT # P56062 # CITSYN-RXN # # 2.3.3.1
A2_7_0	sp|P49299|CYSZ_CUCMA	346	828	0.438327157226	3.44e-100	348.0	47.0	2.3.3.1	Citrate synthase, glyoxysomal OS=Cucurbita maxima PE=1 SV=1 # UNIPROT # P49299 # CITSYN-RXN # # 2.3.3.1
