#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
L1_130_10	gi|493410505|ref|WP_006366483.1|	1551	7675	0.954483273225	0.0	1550.0	95.0		Amino acid adenylation [Chlorobium ferrooxidans]
L1_55_39	gi|493409852|ref|WP_006365838.1|	1056	5151	0.940478364068	0.0	1055.0	94.0		TPR repeat:Tetratricopeptide TPR_3:Tetratricopeptide TPR_4 [Chlorobium ferrooxidans]
L1_141_3	gi|493563993|ref|WP_006517371.1|	1529	4982	0.627851291745	0.0	1520.0	61.0		glutamate synthase family protein [Leptolyngbya sp. PCC 7375]
L1_141_3	gi|495686616|ref|WP_008411195.1|	1530	4976	0.627095148078	0.0	1522.0	61.0		Ferredoxin-dependent glutamate synthase 1 [Desulfotomaculum hydrothermale]
L1_141_3	gi|493556482|ref|WP_006509988.1|	1529	4939	0.62243226213	0.0	1526.0	60.0		glutamate synthase family protein [Xenococcus sp. PCC 7305]
L1_20_8	gi|491903745|ref|WP_005662440.1|	1245	4922	0.774630154234	0.0	1246.0	75.0		hypothetical protein [Dethiosulfovibrio peptidovorans]
L1_141_3	gi|493577735|ref|WP_006530849.1|	1527	4912	0.619029615627	0.0	1516.0	60.0		glutamate synthase family protein [Gloeocapsa sp. PCC 73106]
L1_127_6	gi|493409409|ref|WP_006365403.1|	1000	4717	0.938519697573	0.0	999.0	94.0		PAS [Chlorobium ferrooxidans]
L1_141_3	gi|491630314|ref|WP_005487853.1|	1530	4650	0.586011342155	0.0	1534.0	56.0		Glutamate synthase [NADPH] large chain [Halanaerobium saccharolyticum]
L1_62_1	gi|493411319|ref|WP_006367279.1|	933	4600	0.957535387177	0.0	932.0	95.0		PAS:Response regulator receiver:ATP-binding region, ATPase-like:Histidine kinase A-like [Chlorobium ferrooxidans]
L1_20_8	gi|493342847|ref|WP_006299685.1|	1245	4103	0.645734970098	0.0	1243.0	64.0		conserved hypothetical protein [Aminomonas paucivorans]
L1_20_8	gi|493467356|ref|WP_006422525.1|	1245	4027	0.63377400063	0.0	1248.0	62.0		conserved hypothetical protein [delta proteobacterium NaphS2]
L1_129_53	gi|493673768|ref|WP_006624089.1|	1183	4016	0.650048559404	0.0	1177.0	62.0		pyruvate-flavodoxin oxidoreductase [Arthrospira platensis]
L1_129_53	gi|490259815|ref|WP_004157035.1|	1179	4013	0.649562965361	0.0	1176.0	62.0		pyruvate:ferredoxin (flavodoxin) oxidoreductase [Microcystis aeruginosa]
L1_93_5	gi|496009825|ref|WP_008734404.1|	1180	4000	0.671817265704	0.0	1192.0	65.0		hypothetical protein [Alcanivorax pacificus]
L1_129_53	gi|493558693|ref|WP_006512147.1|	1178	3967	0.642117190029	0.0	1182.0	62.0		pyruvate:ferredoxin (flavodoxin) oxidoreductase, homodimeric [Xenococcus sp. PCC 7305]
L1_42_23	gi|498349699|ref|WP_010663855.1|	1483	3950	0.518917498686	0.0	1416.0	54.0		DNA-directed RNA polymerase subunit beta' [Marinilabilia salmonicolor]
L1_42_23	gi|496325045|ref|WP_009034223.1|	1456	3925	0.51563321072	0.0	1397.0	55.0		DNA-directed RNA polymerase subunit beta' [Indibacter alkaliphilus]
L1_42_23	gi|491878160|ref|WP_005648084.1|	1457	3913	0.514056752496	0.0	1388.0	54.0		DNA-directed RNA polymerase subunit beta' [Parabacteroides merdae]
L1_42_23	gi|494923468|ref|WP_007649503.1|	1456	3910	0.51366263794	0.0	1400.0	55.0		DNA-directed RNA polymerase beta' subunit [Formosa sp. AK20]
