orf_id	ref dbname	EC	product	value
G1_4_3	COG_2013-12-27		COG1754 # R General function prediction only Function: Uncharacterized C-terminal domain topoisomerase IA Organism: Xylella fastidiosa 9a5c (Xfa)	18.0
	refseq-nr-2014-01-18		DNA topoisomerase I, partial	4.0
	seed-2014-01-30	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2)	15.0

G1_1_0				
	refseq-nr-2014-01-18		flagellar basal body rod protein FlgF	5.0
	seed-2014-01-30		flagellar basal body rod protein	4.0

G1_1_1	COG_2013-12-27		COG4786 # N Cell motility Function: Flagellar basal body rod protein Organism: Helicobacter pylori 26695 (Hpy)	15.0
	refseq-nr-2014-01-18		flagellar basal body rod protein FlgG	5.0
	seed-2014-01-30		Flagellar basal-body rod protein FlgG	4.0

G1_3_0	COG_2013-12-27		COG0550 # L Replication, recombination repair Function: Topoisomerase IA Organism: Neisseria meningitidis Z2491 (NmA)	14.0
	refseq-nr-2014-01-18		DNA topoisomerase I	3.0
	seed-2014-01-30	5.99.1.2	DNA topoisomerase I (EC 5.99.1.2)	15.0

G1_3_1	COG_2013-12-27		COG0740 # OU Function: Protease subunit ATP-dependent Clp proteases Organism: Helicobacter pylori J99 (jHp)	14.0
	refseq-nr-2014-01-18		ATP-dependent Clp protease proteolytic subunit ClpP	6.0
	seed-2014-01-30	3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	17.0

G1_3_2				
	refseq-nr-2014-01-18		DNA repair protein RecN	3.0
	seed-2014-01-30		DNA repair protein RecN	3.0

G1_2_0				
	refseq-nr-2014-01-18		(glutamate--ammonia-ligase) adenylyltransferase	2.0
	seed-2014-01-30	2.7.7.42	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	14.0

G1_2_2	COG_2013-12-27		COG0174 # E Amino acid transport metabolism Function: Glutamine synthetase Organism: Nostoc sp. PCC 7120 (Nos)	16.0
	refseq-nr-2014-01-18		glutamine synthetase, type I	4.0
	seed-2014-01-30	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2)	16.0
	metacyc-v4-2011-07-03	6.3.1.2	Glutamine synthetase 1 OS Rhizobium leguminosarum bv. viciae GN glnA PE 3 SV # UNIPROT P09826 GLUTAMINESYN-RXN 6.3.1.2	28.0

